SURVEY: YSE
SNID:  2021lzg
otherID: 
IAUC:    UNKNOWN
RA:        181.7201420  deg
DECL:       17.9864890  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: -9999.0
SIGMA_Z: -9999.0
REDSHIFT_CMB: -9999.0
REDSHIFT_FINAL: 0.4774575082872832
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 58838.57
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lzg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.605 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59343.260 g_PS1 NULL 533.099 43.910 20.683 0.089 0x00
OBS: 59343.260 i_PS1 NULL 366.387 51.330 21.090 0.152 0x00
OBS: 59345.260 g_PS1 NULL 681.632 57.746 20.416 0.092 0x00
OBS: 59345.260 r_PS1 NULL 549.817 54.727 20.649 0.108 0x00
OBS: 59347.360 i_PS1 NULL 653.646 58.894 20.462 0.098 0x00
OBS: 59347.370 g_PS1 NULL 1014.005 66.939 19.985 0.072 0x00
OBS: 59350.380 g_PS1 NULL 1131.752 71.199 19.866 0.068 0x00
OBS: 59350.390 r_PS1 NULL 1160.091 93.199 19.839 0.087 0x00
OBS: 59359.340 z_PS1 NULL 784.390 112.975 20.264 0.156 0x00
OBS: 59359.340 r_PS1 NULL 1192.984 98.479 19.808 0.090 0x00
OBS: 59361.360 r_PS1 NULL 1069.714 102.320 19.927 0.104 0x00
OBS: 59361.370 i_PS1 NULL 661.815 92.795 20.448 0.152 0x00
OBS: 59363.320 z_PS1 NULL 433.769 98.145 20.907 0.246 0x00
OBS: 59363.320 r_PS1 NULL 1147.194 58.082 19.851 0.055 0x00
OBS: 59365.330 r_PS1 NULL 963.270 56.280 20.041 0.063 0x00
OBS: 59365.330 i_PS1 NULL 672.431 55.339 20.431 0.089 0x00
OBS: 59367.320 g_PS1 NULL 951.845 78.767 20.054 0.090 0x00
OBS: 59367.320 z_PS1 NULL 393.217 101.369 21.013 0.280 0x00
OBS: 59370.290 i_PS1 NULL 507.633 82.871 20.736 0.177 0x00
OBS: 59370.290 g_PS1 NULL 777.391 59.647 20.273 0.083 0x00
OBS: 59374.330 r_PS1 NULL 630.083 74.540 20.502 0.128 0x00
OBS: 59374.330 g_PS1 NULL 522.512 93.709 20.705 0.195 0x00
OBS: 59376.290 g_PS1 NULL 452.540 88.136 20.861 0.211 0x00
OBS: 59377.280 r_PS1 NULL 454.772 70.491 20.856 0.168 0x01
OBS: 59379.320 i_PS1 NULL 473.991 61.973 20.811 0.142 0x00
OBS: 59379.320 g_PS1 NULL 311.903 74.327 21.265 0.259 0x00
OBS: 59388.280 r_PS1 NULL 503.855 68.304 20.744 0.147 0x00
OBS: 59388.280 i_PS1 NULL 348.844 56.927 21.143 0.177 0x00
OBS: 59392.320 i_PS1 NULL 253.400 64.127 21.490 0.275 0x00
OBS: 59392.320 r_PS1 NULL 411.493 48.136 20.964 0.127 0x00
OBS: 59397.290 i_PS1 NULL 411.839 66.033 20.963 0.174 0x00
OBS: 59400.280 r_PS1 NULL 355.043 57.445 21.124 0.176 0x01
OBS: 59402.280 g_PS1 NULL 214.593 57.079 21.671 0.289 0x00
OBS: 59402.280 r_PS1 NULL 254.440 57.451 21.486 0.245 0x00
OBS: 59404.280 r_PS1 NULL 239.510 58.035 21.552 0.263 0x00
