SURVEY: YSE
SNID:  2021mfy
otherID: 
IAUC:    UNKNOWN
RA:        176.0797690  deg
DECL:       19.3184630  deg
MWEBV:    0.018 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.08703
SIGMA_Z: 0.000724
REDSHIFT_CMB: 0.08821966864431552
REDSHIFT_FINAL: 0.08650514483589844
HOST_LOGMASS: 10.460611094800377
HOST_LOGMASS_ERR: 0.09006068128555372
HOST_LOGSFR: 0.4659027513772887
HOST_LOGSFR_ERR: 0.5532758663335294
SEARCH_PEAKMJD: 59358.242
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021mfy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.272 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59347.370 i_PS1 NULL 752.899 75.414 20.308 0.109 0x00
OBS: 59347.370 g_PS1 NULL 914.235 74.001 20.097 0.088 0x00
OBS: 59350.390 g_PS1 NULL 1583.706 100.668 19.501 0.069 0x00
OBS: 59350.390 r_PS1 NULL 1451.114 93.428 19.596 0.070 0x00
OBS: 59359.340 z_PS1 NULL 1228.378 154.002 19.777 0.136 0x01
OBS: 59359.340 r_PS1 NULL 2809.738 118.658 18.878 0.046 0x01
OBS: 59361.370 r_PS1 NULL 2919.284 101.344 18.837 0.038 0x00
OBS: 59361.370 i_PS1 NULL 2113.057 103.593 19.188 0.053 0x01
OBS: 59363.320 z_PS1 NULL 1267.808 110.495 19.742 0.095 0x01
OBS: 59363.320 r_PS1 NULL 2839.213 67.506 18.867 0.026 0x00
OBS: 59365.330 r_PS1 NULL 2760.108 71.413 18.898 0.028 0x00
OBS: 59367.320 z_PS1 NULL 876.529 122.547 20.143 0.152 0x01
OBS: 59367.320 g_PS1 NULL 2585.029 100.235 18.969 0.042 0x00
OBS: 59370.290 i_PS1 NULL 1333.056 92.046 19.688 0.075 0x00
OBS: 59370.290 g_PS1 NULL 1974.530 68.189 19.261 0.037 0x00
OBS: 59372.330 i_PS1 NULL 1238.714 89.936 19.768 0.079 0x01
OBS: 59372.330 g_PS1 NULL 1729.096 89.391 19.405 0.056 0x00
OBS: 59374.330 r_PS1 NULL 1855.752 99.053 19.329 0.058 0x01
OBS: 59374.330 g_PS1 NULL 1253.187 87.789 19.755 0.076 0x00
OBS: 59376.290 g_PS1 NULL 1059.560 76.360 19.937 0.078 0x00
OBS: 59376.290 i_PS1 NULL 1155.077 98.493 19.843 0.093 0x01
OBS: 59377.280 r_PS1 NULL 1550.427 64.983 19.524 0.046 0x00
OBS: 59377.280 g_PS1 NULL 1051.348 70.186 19.946 0.072 0x00
OBS: 59379.320 g_PS1 NULL 927.534 69.903 20.082 0.082 0x00
OBS: 59379.320 i_PS1 NULL 1142.209 83.374 19.856 0.079 0x01
OBS: 59388.280 i_PS1 NULL 1257.846 73.890 19.751 0.064 0x00
OBS: 59388.280 r_PS1 NULL 896.416 83.323 20.119 0.101 0x00
OBS: 59392.320 i_PS1 NULL 901.789 92.414 20.112 0.111 0x00
OBS: 59392.320 r_PS1 NULL 862.097 71.090 20.161 0.090 0x00
OBS: 59395.290 z_PS1 NULL 724.862 119.450 20.349 0.179 0x00
OBS: 59395.300 r_PS1 NULL 669.552 53.066 20.436 0.086 0x00
OBS: 59397.290 i_PS1 NULL 359.690 80.659 21.110 0.243 0x00
OBS: 59400.280 r_PS1 NULL 354.577 65.920 21.126 0.202 0x00
OBS: 59401.270 g_PS1 NULL 278.703 73.755 21.387 0.287 0x00
OBS: 59401.270 i_PS1 NULL 569.625 73.709 20.611 0.140 0x00
OBS: 59402.280 r_PS1 NULL 432.009 64.634 20.911 0.162 0x00
OBS: 59402.280 g_PS1 NULL 319.472 72.146 21.239 0.245 0x00
OBS: 59403.290 i_PS1 NULL 485.462 105.566 20.785 0.236 0x00
OBS: 59404.270 g_PS1 NULL 337.773 78.598 21.178 0.253 0x00
OBS: 59404.280 r_PS1 NULL 450.037 58.984 20.867 0.142 0x00
