SURVEY: YSE
SNID:  2021mgc
otherID: 
IAUC:    UNKNOWN
RA:        331.8739940  deg
DECL:       3.0969540  deg
MWEBV:    0.034 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.083
REDSHIFT_CMB: 0.08171879484707056
REDSHIFT_FINAL: 0.08189665665305029
HOST_LOGMASS: 10.162718296051025
SEARCH_PEAKMJD: 59356.404
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021mgc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.096 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59346.600 g_PS1 NULL 1465.500 68.367 19.585 0.051 0x00
OBS: 59346.600 r_PS1 NULL 1929.886 58.492 19.286 0.033 0x00
OBS: 59350.600 g_PS1 NULL 1527.921 100.948 19.540 0.072 0x00
OBS: 59350.610 i_PS1 NULL 1535.991 125.057 19.534 0.088 0x00
OBS: 59353.580 z_PS1 NULL 1007.309 114.370 19.992 0.123 0x00
OBS: 59353.580 g_PS1 NULL 1292.557 69.478 19.721 0.058 0x00
OBS: 59354.590 i_PS1 NULL 1619.030 65.368 19.477 0.044 0x00
OBS: 59354.590 g_PS1 NULL 1161.311 76.026 19.838 0.071 0x00
OBS: 59355.590 g_PS1 NULL 1218.733 71.227 19.785 0.063 0x00
OBS: 59355.590 z_PS1 NULL 1042.158 110.909 19.955 0.116 0x00
OBS: 59356.580 r_PS1 NULL 1997.628 51.232 19.249 0.028 0x00
OBS: 59356.580 z_PS1 NULL 846.484 117.275 20.181 0.150 0x00
OBS: 59357.600 i_PS1 NULL 1246.595 69.010 19.761 0.060 0x00
OBS: 59357.600 r_PS1 NULL 1817.071 67.123 19.352 0.040 0x00
OBS: 59358.600 r_PS1 NULL 1644.558 71.382 19.460 0.047 0x00
OBS: 59358.600 z_PS1 NULL 402.152 103.642 20.989 0.280 0x00
OBS: 59359.560 r_PS1 NULL 1584.931 94.584 19.500 0.065 0x00
OBS: 59359.570 i_PS1 NULL 1024.860 70.151 19.973 0.074 0x00
OBS: 59361.590 r_PS1 NULL 1492.556 118.424 19.565 0.086 0x00
OBS: 59361.600 z_PS1 NULL 722.643 132.127 20.353 0.199 0x00
OBS: 59371.560 g_PS1 NULL 487.575 82.779 20.780 0.184 0x00
OBS: 59371.560 r_PS1 NULL 939.604 71.545 20.068 0.083 0x00
OBS: 59374.580 g_PS1 NULL 344.801 46.905 21.156 0.148 0x00
OBS: 59374.580 i_PS1 NULL 1163.075 103.004 19.836 0.096 0x00
OBS: 59377.560 r_PS1 NULL 714.312 59.868 20.365 0.091 0x00
OBS: 59377.560 g_PS1 NULL 212.497 34.602 21.682 0.177 0x00
OBS: 59380.560 i_PS1 NULL 829.092 95.748 20.203 0.125 0x00
OBS: 59380.560 g_PS1 NULL 288.218 68.179 21.351 0.257 0x00
OBS: 59385.490 i_PS1 NULL 528.452 70.392 20.692 0.145 0x00
OBS: 59385.500 r_PS1 NULL 508.363 56.117 20.735 0.120 0x00
OBS: 59387.540 z_PS1 NULL 503.218 123.253 20.746 0.266 0x00
OBS: 59387.540 r_PS1 NULL 578.471 65.947 20.594 0.124 0x00
OBS: 59399.460 r_PS1 NULL 357.287 50.367 21.117 0.153 0x00
OBS: 59412.610 z_PS1 NULL 293.754 72.353 21.330 0.267 0x00
OBS: 59415.510 r_PS1 NULL 281.495 46.520 21.376 0.179 0x00
OBS: 59437.400 r_PS1 NULL 289.441 74.799 21.346 0.281 0x00
