SURVEY: YSE
SNID:  2021mwb
otherID: 
IAUC:    UNKNOWN
RA:        242.2379840  deg
DECL:       35.4210830  deg
MWEBV:    0.019 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.043
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.043188767079525014
REDSHIFT_FINAL: 0.04295078030281869
HOST_LOGMASS: 8.932313608123044
SEARCH_PEAKMJD: 59369.368
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021mwb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.313 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59353.450 z_PS1 NULL 728.779 146.038 20.344 0.218 0x00
OBS: 59353.460 g_PS1 NULL 954.741 76.287 20.050 0.087 0x00
OBS: 59354.360 g_PS1 NULL 1403.286 94.500 19.632 0.073 0x00
OBS: 59354.360 i_PS1 NULL 979.327 89.663 20.023 0.099 0x00
OBS: 59355.360 z_PS1 NULL 1309.847 117.409 19.707 0.097 0x00
OBS: 59355.370 g_PS1 NULL 2363.416 85.253 19.066 0.039 0x00
OBS: 59356.360 r_PS1 NULL 2998.340 81.774 18.808 0.030 0x00
OBS: 59356.360 i_PS1 NULL 2455.011 84.610 19.025 0.037 0x00
OBS: 59358.380 z_PS1 NULL 3853.593 199.961 18.535 0.056 0x00
OBS: 59358.380 r_PS1 NULL 5421.029 112.352 18.165 0.023 0x00
OBS: 59360.390 r_PS1 NULL 7295.391 160.528 17.842 0.024 0x00
OBS: 59360.390 i_PS1 NULL 6020.318 165.291 18.051 0.030 0x00
OBS: 59363.480 z_PS1 NULL 6057.418 157.835 18.044 0.028 0x00
OBS: 59363.480 r_PS1 NULL 10029.315 139.932 17.497 0.015 0x00
OBS: 59366.320 g_PS1 NULL 13644.356 149.212 17.163 0.012 0x01
OBS: 59366.330 z_PS1 NULL 7131.980 140.187 17.867 0.021 0x00
OBS: 59369.460 i_PS1 NULL 7411.417 172.340 17.825 0.025 0x00
OBS: 59369.460 g_PS1 NULL 14405.643 190.884 17.104 0.014 0x00
OBS: 59370.440 i_PS1 NULL 7082.330 142.075 17.875 0.022 0x00
OBS: 59370.450 g_PS1 NULL 14164.714 152.603 17.122 0.012 0x00
OBS: 59373.330 g_PS1 NULL 13276.029 120.327 17.192 0.010 0x00
OBS: 59377.500 g_PS1 NULL 11893.420 126.539 17.312 0.012 0x01
OBS: 59377.500 i_PS1 NULL 6311.826 130.308 18.000 0.022 0x01
OBS: 59384.280 g_PS1 NULL 7777.214 160.435 17.773 0.022 0x00
OBS: 59384.280 i_PS1 NULL 3724.459 195.883 18.572 0.057 0x00
OBS: 59389.280 r_PS1 NULL 7343.636 138.892 17.835 0.021 0x00
OBS: 59389.280 i_PS1 NULL 3873.674 160.974 18.530 0.045 0x01
OBS: 59392.350 r_PS1 NULL 6938.878 99.990 17.897 0.016 0x00
OBS: 59392.350 z_PS1 NULL 4155.841 127.431 18.453 0.033 0x00
OBS: 59395.420 r_PS1 NULL 6756.828 101.629 17.926 0.016 0x00
OBS: 59395.420 i_PS1 NULL 4545.163 93.739 18.356 0.022 0x00
OBS: 59408.400 g_PS1 NULL 1468.398 68.890 19.583 0.051 0x00
OBS: 59408.400 r_PS1 NULL 3803.240 74.744 18.550 0.021 0x00
OBS: 59412.260 i_PS1 NULL 2625.334 84.987 18.952 0.035 0x00
OBS: 59412.270 g_PS1 NULL 1350.566 81.432 19.674 0.065 0x00
OBS: 59413.270 z_PS1 NULL 2586.989 230.063 18.968 0.097 0x01
OBS: 59413.270 g_PS1 NULL 1190.442 140.398 19.811 0.128 0x00
OBS: 59414.330 i_PS1 NULL 2450.712 136.248 19.027 0.060 0x00
OBS: 59414.330 r_PS1 NULL 2969.434 112.169 18.818 0.041 0x00
OBS: 59416.300 r_PS1 NULL 2628.526 136.858 18.951 0.057 0x00
OBS: 59416.310 z_PS1 NULL 2759.185 615.680 18.898 0.242 0x00
OBS: 59419.300 r_PS1 NULL 2478.919 111.566 19.014 0.049 0x00
OBS: 59419.300 z_PS1 NULL 1714.603 161.022 19.415 0.102 0x00
OBS: 59425.260 g_PS1 NULL 1179.790 75.945 19.820 0.070 0x00
OBS: 59425.260 i_PS1 NULL 1520.461 84.933 19.545 0.061 0x00
OBS: 59426.260 g_PS1 NULL 1055.312 65.206 19.942 0.067 0x00
OBS: 59426.260 z_PS1 NULL 1253.226 99.511 19.755 0.086 0x00
OBS: 59429.270 r_PS1 NULL 1914.634 97.058 19.295 0.055 0x00
OBS: 59429.280 g_PS1 NULL 925.332 92.607 20.084 0.109 0x00
OBS: 59432.330 i_PS1 NULL 1233.895 90.143 19.772 0.079 0x00
OBS: 59432.340 g_PS1 NULL 1081.706 77.250 19.915 0.078 0x00
OBS: 59436.260 r_PS1 NULL 1438.790 56.550 19.605 0.043 0x00
OBS: 59436.260 g_PS1 NULL 820.661 68.036 20.215 0.090 0x00
OBS: 59438.260 g_PS1 NULL 759.591 70.012 20.299 0.100 0x00
OBS: 59438.260 i_PS1 NULL 1047.134 68.286 19.950 0.071 0x00
OBS: 59440.260 r_PS1 NULL 1558.123 71.032 19.518 0.049 0x00
OBS: 59440.260 g_PS1 NULL 747.859 73.212 20.315 0.106 0x00
OBS: 59442.260 z_PS1 NULL 918.989 129.221 20.092 0.153 0x00
OBS: 59442.260 g_PS1 NULL 1066.354 89.438 19.930 0.091 0x00
OBS: 59445.250 r_PS1 NULL 1236.975 163.414 19.769 0.143 0x00
OBS: 59447.260 r_PS1 NULL 1350.363 89.986 19.674 0.072 0x00
OBS: 59447.260 i_PS1 NULL 767.514 92.799 20.287 0.131 0x00
OBS: 59450.300 r_PS1 NULL 1247.130 100.333 19.760 0.087 0x00
OBS: 59450.300 i_PS1 NULL 613.017 115.840 20.531 0.205 0x00
OBS: 59456.250 g_PS1 NULL 664.968 68.801 20.443 0.112 0x00
OBS: 59456.250 i_PS1 NULL 483.652 70.359 20.789 0.158 0x00
OBS: 59461.250 r_PS1 NULL 751.416 107.911 20.310 0.156 0x00
OBS: 59461.250 g_PS1 NULL 567.456 128.192 20.615 0.245 0x00
OBS: 59465.240 i_PS1 NULL 492.366 94.611 20.769 0.209 0x00
OBS: 59465.240 g_PS1 NULL 809.323 78.309 20.230 0.105 0x00
