SURVEY: YSE
SNID:  2021nsh
otherID: 
IAUC:    UNKNOWN
RA:        333.8641600  deg
DECL:       5.5447220  deg
MWEBV:    0.096 +- 0.005 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.083
REDSHIFT_CMB: 0.08170416648129875
REDSHIFT_FINAL: 0.08190849817842982
HOST_LOGMASS: 10.908380031585693
SEARCH_PEAKMJD: 59383.57
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021nsh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.811 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59355.590 g_PS1 NULL 225.335 46.321 21.618 0.223 0x00
OBS: 59356.580 r_PS1 NULL 362.362 86.783 21.102 0.260 0x00
OBS: 59357.600 r_PS1 NULL 536.593 56.508 20.676 0.114 0x00
OBS: 59357.600 i_PS1 NULL 626.770 71.046 20.507 0.123 0x00
OBS: 59358.600 r_PS1 NULL 633.535 55.531 20.496 0.095 0x00
OBS: 59359.570 i_PS1 NULL 870.319 81.896 20.151 0.102 0x00
OBS: 59359.570 r_PS1 NULL 696.874 92.033 20.392 0.143 0x00
OBS: 59361.600 r_PS1 NULL 963.684 125.769 20.040 0.142 0x00
OBS: 59361.600 z_PS1 NULL 901.619 170.254 20.112 0.205 0x00
OBS: 59371.560 g_PS1 NULL 1211.530 71.277 19.792 0.064 0x00
OBS: 59371.570 r_PS1 NULL 1752.959 83.511 19.391 0.052 0x00
OBS: 59374.580 i_PS1 NULL 1446.726 68.244 19.599 0.051 0x00
OBS: 59374.580 g_PS1 NULL 1089.909 62.865 19.907 0.063 0x00
OBS: 59377.560 g_PS1 NULL 832.511 48.653 20.199 0.063 0x00
OBS: 59377.570 r_PS1 NULL 1526.798 62.415 19.541 0.044 0x00
OBS: 59380.560 i_PS1 NULL 869.997 88.521 20.151 0.110 0x00
OBS: 59380.560 g_PS1 NULL 612.547 111.312 20.532 0.197 0x00
OBS: 59382.570 g_PS1 NULL 476.646 45.606 20.805 0.104 0x00
OBS: 59382.570 i_PS1 NULL 820.489 46.372 20.215 0.061 0x00
OBS: 59383.570 g_PS1 NULL 503.792 56.029 20.744 0.121 0x01
OBS: 59385.490 i_PS1 NULL 702.284 73.008 20.384 0.113 0x00
OBS: 59385.500 r_PS1 NULL 796.705 82.274 20.247 0.112 0x00
OBS: 59387.540 r_PS1 NULL 956.461 67.932 20.048 0.077 0x00
OBS: 59389.550 r_PS1 NULL 902.192 106.784 20.112 0.129 0x00
OBS: 59389.550 i_PS1 NULL 844.321 99.113 20.184 0.127 0x00
OBS: 59398.990 g_PS1 NULL 238.885 63.429 21.563 0.285 0x00
OBS: 59399.460 r_PS1 NULL 555.959 57.219 20.637 0.112 0x00
OBS: 59413.450 i_PS1 NULL 474.440 81.963 20.810 0.188 0x00
OBS: 59415.510 r_PS1 NULL 257.092 55.757 21.475 0.235 0x00
OBS: 59427.390 i_PS1 NULL 390.799 89.534 21.020 0.249 0x00
OBS: 59430.480 i_PS1 NULL 279.616 46.054 21.384 0.179 0x00
