SURVEY: YSE
SNID:  2021nyt
otherID: 
IAUC:    UNKNOWN
RA:        245.8075640  deg
DECL:       26.4759400  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.064459
SIGMA_Z: 9.41e-06
REDSHIFT_CMB: 0.06463051932671227
REDSHIFT_FINAL: 0.0648466279962253
HOST_LOGMASS: 11.071776866912842
SEARCH_PEAKMJD: 59376.295
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021nyt.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.231 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59363.490 r_PS1 NULL 767.833 90.856 20.287 0.128 0x00
OBS: 59363.490 z_PS1 NULL 488.202 125.407 20.779 0.279 0x00
OBS: 59365.360 i_PS1 NULL 1254.002 66.871 19.754 0.058 0x00
OBS: 59365.360 r_PS1 NULL 1322.630 60.557 19.696 0.050 0x00
OBS: 59368.370 z_PS1 NULL 2034.965 234.234 19.229 0.125 0x00
OBS: 59368.370 g_PS1 NULL 2347.329 111.044 19.074 0.051 0x00
OBS: 59372.460 g_PS1 NULL 4056.457 66.429 18.480 0.018 0x00
OBS: 59372.470 i_PS1 NULL 3097.648 63.514 18.772 0.022 0x00
OBS: 59375.430 g_PS1 NULL 4456.638 85.298 18.377 0.021 0x00
OBS: 59375.430 r_PS1 NULL 4507.672 82.530 18.365 0.020 0x00
OBS: 59379.310 g_PS1 NULL 4348.935 69.138 18.404 0.017 0x00
OBS: 59379.320 i_PS1 NULL 3059.006 59.405 18.786 0.021 0x00
OBS: 59382.290 g_PS1 NULL 3601.968 88.995 18.609 0.027 0x00
OBS: 59382.290 i_PS1 NULL 2852.822 79.335 18.862 0.030 0x00
OBS: 59383.290 z_PS1 NULL 2124.591 112.475 19.182 0.057 0x00
OBS: 59383.290 g_PS1 NULL 3525.417 103.694 18.632 0.032 0x00
OBS: 59384.270 g_PS1 NULL 3457.195 164.213 18.653 0.052 0x00
OBS: 59384.280 i_PS1 NULL 2553.138 125.165 18.982 0.053 0x00
OBS: 59385.270 z_PS1 NULL 1990.991 151.562 19.252 0.083 0x00
OBS: 59385.270 r_PS1 NULL 3839.663 124.638 18.539 0.035 0x00
OBS: 59386.320 r_PS1 NULL 3556.832 237.103 18.622 0.072 0x00
OBS: 59388.300 r_PS1 NULL 3375.956 162.171 18.679 0.052 0x00
OBS: 59388.300 z_PS1 NULL 1649.076 130.321 19.457 0.086 0x00
OBS: 59391.420 i_PS1 NULL 2181.720 85.053 19.153 0.042 0x01
OBS: 59394.400 z_PS1 NULL 1811.375 96.248 19.355 0.058 0x00
OBS: 59394.400 r_PS1 NULL 2499.528 52.162 19.005 0.023 0x00
OBS: 59398.410 g_PS1 NULL 778.650 68.734 20.272 0.096 0x00
OBS: 59398.410 i_PS1 NULL 2071.930 62.580 19.209 0.033 0x00
OBS: 59399.400 r_PS1 NULL 1946.948 53.294 19.277 0.030 0x00
OBS: 59399.400 g_PS1 NULL 679.939 47.685 20.419 0.076 0x00
OBS: 59408.390 g_PS1 NULL 388.006 53.246 21.028 0.149 0x00
OBS: 59408.390 r_PS1 NULL 1183.517 42.803 19.817 0.039 0x00
OBS: 59412.380 g_PS1 NULL 392.484 74.899 21.015 0.207 0x00
OBS: 59412.380 i_PS1 NULL 920.948 81.287 20.089 0.096 0x00
OBS: 59414.340 r_PS1 NULL 748.142 104.814 20.315 0.152 0x00
OBS: 59414.340 i_PS1 NULL 1055.356 96.914 19.942 0.100 0x00
OBS: 59425.330 z_PS1 NULL 436.631 103.188 20.900 0.257 0x00
OBS: 59425.330 g_PS1 NULL 273.342 62.549 21.408 0.248 0x00
OBS: 59435.270 r_PS1 NULL 565.998 50.254 20.618 0.096 0x00
OBS: 59435.270 g_PS1 NULL 309.701 42.327 21.273 0.148 0x00
OBS: 59437.260 i_PS1 NULL 363.407 66.578 21.099 0.199 0x00
OBS: 59437.260 g_PS1 NULL 259.032 58.341 21.467 0.245 0x00
OBS: 59439.260 r_PS1 NULL 439.580 90.479 20.892 0.223 0x00
OBS: 59441.260 i_PS1 NULL 348.152 64.566 21.146 0.201 0x01
OBS: 59441.260 g_PS1 NULL 245.529 45.650 21.525 0.202 0x00
OBS: 59447.250 r_PS1 NULL 429.584 61.578 20.917 0.156 0x01
