SURVEY: YSE
SNID:  2021oat
otherID: 
IAUC:    UNKNOWN
RA:        195.0344310  deg
DECL:       28.1702930  deg
MWEBV:    0.009 +- 0.000 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.022522
SIGMA_Z: 6.67e-06
REDSHIFT_CMB: 0.023431429347384958
REDSHIFT_FINAL: 0.02398005622943323
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59380.31
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021oat.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.204 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59214.635 r_PS1 NULL 48.988 138.866 22.022 -0.931 0x00
OBS: 59364.400 r_PS1 NULL 2401.218 71.411 19.049 0.032 0x00
OBS: 59364.410 z_PS1 NULL 1325.286 97.550 19.694 0.080 0x00
OBS: 59366.410 z_PS1 NULL 5427.797 135.874 18.163 0.027 0x00
OBS: 59368.340 i_PS1 NULL 12833.293 125.239 17.229 0.011 0x00
OBS: 59368.350 g_PS1 NULL 22232.018 191.200 16.633 0.009 0x00
OBS: 59371.340 g_PS1 NULL 42283.040 233.459 15.935 0.006 0x00
OBS: 59371.340 r_PS1 NULL 33871.057 199.755 16.175 0.006 0x00
OBS: 59373.330 i_PS1 NULL 23599.182 138.344 16.568 0.006 0x00
OBS: 59375.370 r_PS1 NULL 48610.681 221.255 15.783 0.005 0x00
OBS: 59375.370 g_PS1 NULL 54907.087 258.506 15.651 0.005 0x00
OBS: 59378.390 i_PS1 NULL 25112.833 163.421 16.500 0.007 0x00
OBS: 59378.390 g_PS1 NULL 59599.126 279.445 15.562 0.005 0x00
OBS: 59380.280 i_PS1 NULL 24096.500 206.992 16.545 0.009 0x00
OBS: 59380.310 g_PS1 NULL 61397.742 311.565 15.530 0.005 0x00
OBS: 59380.340 r_PS1 NULL 54163.608 295.405 15.666 0.006 0x00
OBS: 59387.290 i_PS1 NULL 16172.137 274.078 16.978 0.018 0x01
OBS: 59387.290 r_PS1 NULL 39499.488 273.855 16.009 0.008 0x00
OBS: 59389.295 z_PS1 NULL 15256.847 223.817 17.042 0.016 0x00
OBS: 59389.300 r_PS1 NULL 32185.509 248.027 16.231 0.008 0x00
OBS: 59391.295 i_PS1 NULL 10035.511 117.446 17.496 0.013 0x00
OBS: 59391.300 r_PS1 NULL 27528.618 149.807 16.401 0.006 0x00
OBS: 59394.270 r_PS1 NULL 24097.189 131.076 16.545 0.006 0x00
OBS: 59394.280 i_PS1 NULL 8855.136 102.508 17.632 0.013 0x00
OBS: 59396.270 z_PS1 NULL 13815.948 162.097 17.149 0.013 0x00
OBS: 59396.270 g_PS1 NULL 26547.411 174.177 16.440 0.007 0x00
OBS: 59398.290 g_PS1 NULL 23742.769 207.338 16.561 0.009 0x00
OBS: 59398.290 i_PS1 NULL 9597.617 231.702 17.545 0.026 0x00
OBS: 59399.280 g_PS1 NULL 22026.776 161.012 16.643 0.008 0x00
OBS: 59399.280 i_PS1 NULL 9523.598 125.702 17.553 0.014 0x00
OBS: 59406.280 r_PS1 NULL 19591.491 148.465 16.770 0.008 0x00
OBS: 59406.280 g_PS1 NULL 11312.571 139.738 17.366 0.013 0x00
OBS: 59414.280 z_PS1 NULL 8582.004 155.692 17.666 0.020 0x00
OBS: 59414.280 r_PS1 NULL 11888.916 140.475 17.312 0.013 0x00
OBS: 59416.270 r_PS1 NULL 10781.420 173.932 17.418 0.018 0x01
OBS: 59416.270 i_PS1 NULL 7517.407 145.008 17.810 0.021 0x01
OBS: 59420.260 z_PS1 NULL 5051.192 149.418 18.242 0.032 0x00
OBS: 59420.270 r_PS1 NULL 9602.249 132.560 17.544 0.015 0x00
