SURVEY: YSE
SNID:  2021oaw
otherID: 
IAUC:    UNKNOWN
RA:        188.5341740  deg
DECL:       3.8247290  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0841
REDSHIFT_CMB: 0.08532863443129068
REDSHIFT_FINAL: 0.08798917149543503
HOST_LOGMASS: 10.826887130737305
SEARCH_PEAKMJD: 59379.213
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021oaw.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.397 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59363.330 i_PS1 NULL 254.426 57.670 21.486 0.246 0x00
OBS: 59365.340 r_PS1 NULL 480.066 52.686 20.797 0.119 0x00
OBS: 59365.340 z_PS1 NULL 599.488 93.642 20.556 0.170 0x00
OBS: 59367.330 g_PS1 NULL 715.823 68.372 20.363 0.104 0x00
OBS: 59367.330 i_PS1 NULL 1028.055 68.124 19.970 0.072 0x00
OBS: 59371.320 r_PS1 NULL 1777.278 236.450 19.376 0.144 0x00
OBS: 59371.330 g_PS1 NULL 1299.338 114.571 19.716 0.096 0x00
OBS: 59374.310 i_PS1 NULL 1331.968 80.266 19.689 0.065 0x00
OBS: 59374.320 g_PS1 NULL 1415.747 110.515 19.623 0.085 0x01
OBS: 59377.290 g_PS1 NULL 1371.786 70.790 19.657 0.056 0x00
OBS: 59377.290 r_PS1 NULL 1549.154 68.022 19.525 0.048 0x00
OBS: 59379.340 g_PS1 NULL 1356.613 88.542 19.669 0.071 0x00
OBS: 59379.340 i_PS1 NULL 1423.001 92.108 19.617 0.070 0x00
OBS: 59387.280 i_PS1 NULL 1221.091 196.186 19.783 0.174 0x00
OBS: 59387.280 r_PS1 NULL 1135.489 211.254 19.862 0.202 0x00
OBS: 59388.290 r_PS1 NULL 990.067 96.222 20.011 0.106 0x00
OBS: 59389.290 r_PS1 NULL 956.790 133.347 20.048 0.151 0x00
OBS: 59389.290 i_PS1 NULL 607.106 99.265 20.542 0.178 0x00
OBS: 59391.280 z_PS1 NULL 650.766 105.884 20.466 0.177 0x00
OBS: 59391.280 r_PS1 NULL 820.425 68.966 20.215 0.091 0x00
OBS: 59393.280 i_PS1 NULL 818.214 72.654 20.218 0.096 0x00
OBS: 59393.280 r_PS1 NULL 765.222 60.077 20.291 0.085 0x00
OBS: 59394.290 r_PS1 NULL 705.307 53.330 20.379 0.082 0x00
OBS: 59394.290 z_PS1 NULL 478.435 80.408 20.800 0.182 0x00
OBS: 59396.310 g_PS1 NULL 328.998 64.253 21.207 0.212 0x00
OBS: 59396.310 z_PS1 NULL 648.160 109.020 20.471 0.183 0x00
OBS: 59399.300 r_PS1 NULL 518.081 114.083 20.714 0.239 0x00
OBS: 59400.290 i_PS1 NULL 677.798 104.487 20.422 0.167 0x00
OBS: 59401.290 r_PS1 NULL 355.506 93.688 21.123 0.286 0x00
OBS: 59402.290 i_PS1 NULL 548.448 89.664 20.652 0.178 0x00
OBS: 59403.280 r_PS1 NULL 355.962 78.162 21.121 0.238 0x00
OBS: 59404.290 i_PS1 NULL 447.082 72.801 20.874 0.177 0x00
