SURVEY: YSE
SNID:  2021ofq
otherID: 
IAUC:    UNKNOWN
RA:        209.8713360  deg
DECL:       35.4227810  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.12
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.12073255093215862
REDSHIFT_FINAL: 0.1258244795471139
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59383.226
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ofq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.105 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59364.400 r_PS1 NULL 353.882 50.654 21.128 0.155 0x00
OBS: 59366.410 g_PS1 NULL 521.551 52.503 20.707 0.109 0x01
OBS: 59366.410 z_PS1 NULL 489.884 91.293 20.775 0.202 0x00
OBS: 59368.340 i_PS1 NULL 637.369 73.598 20.489 0.125 0x00
OBS: 59368.350 g_PS1 NULL 962.830 85.954 20.041 0.097 0x00
OBS: 59371.340 g_PS1 NULL 1363.745 78.791 19.663 0.063 0x00
OBS: 59371.350 r_PS1 NULL 1290.858 72.746 19.723 0.061 0x00
OBS: 59373.330 i_PS1 NULL 1197.910 57.861 19.804 0.052 0x00
OBS: 59373.330 g_PS1 NULL 1644.588 58.795 19.460 0.039 0x00
OBS: 59375.370 r_PS1 NULL 1690.714 74.180 19.430 0.048 0x00
OBS: 59375.370 g_PS1 NULL 1909.491 79.799 19.298 0.045 0x00
OBS: 59378.390 g_PS1 NULL 2031.530 105.407 19.230 0.056 0x00
OBS: 59378.390 i_PS1 NULL 1381.659 101.162 19.649 0.079 0x00
OBS: 59380.340 r_PS1 NULL 2085.697 112.672 19.202 0.059 0x00
OBS: 59380.340 g_PS1 NULL 2185.087 93.025 19.151 0.046 0x00
OBS: 59387.290 r_PS1 NULL 2068.212 195.410 19.211 0.103 0x00
OBS: 59387.290 i_PS1 NULL 1315.558 216.900 19.702 0.179 0x00
OBS: 59389.300 r_PS1 NULL 1777.596 153.142 19.375 0.094 0x00
OBS: 59389.310 z_PS1 NULL 672.760 132.142 20.430 0.213 0x00
OBS: 59391.300 r_PS1 NULL 1797.493 80.614 19.363 0.049 0x00
OBS: 59391.300 i_PS1 NULL 1017.769 64.950 19.981 0.069 0x00
OBS: 59394.270 r_PS1 NULL 1470.412 55.466 19.581 0.041 0x00
OBS: 59394.280 i_PS1 NULL 962.443 51.582 20.042 0.058 0x00
OBS: 59396.270 z_PS1 NULL 352.264 89.746 21.133 0.277 0x00
OBS: 59396.270 g_PS1 NULL 926.500 48.164 20.083 0.056 0x00
OBS: 59398.290 g_PS1 NULL 597.924 87.295 20.558 0.159 0x00
OBS: 59398.290 i_PS1 NULL 841.167 136.692 20.188 0.176 0x00
OBS: 59399.280 i_PS1 NULL 815.847 69.546 20.221 0.093 0x00
OBS: 59399.280 g_PS1 NULL 664.457 66.005 20.444 0.108 0x00
OBS: 59406.290 g_PS1 NULL 503.099 55.905 20.746 0.121 0x00
OBS: 59406.290 r_PS1 NULL 861.753 57.185 20.162 0.072 0x00
