SURVEY: YSE
SNID:  2021ojn
otherID: 
IAUC:    UNKNOWN
RA:        220.2086790  deg
DECL:       42.2532410  deg
MWEBV:    0.012 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.080667
SIGMA_Z: 9.62e-06
REDSHIFT_CMB: 0.081155715506253
REDSHIFT_FINAL: 0.08091771274646276
HOST_LOGMASS: 10.630302906036377
SEARCH_PEAKMJD: 59383.225
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ojn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.441 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59364.400 r_PS1 NULL 200.904 53.728 21.743 0.290 0x00
OBS: 59367.350 i_PS1 NULL 527.065 51.267 20.695 0.106 0x00
OBS: 59367.350 g_PS1 NULL 587.651 49.086 20.577 0.091 0x00
OBS: 59372.340 g_PS1 NULL 2375.518 69.526 19.061 0.032 0x00
OBS: 59372.340 r_PS1 NULL 2077.932 59.599 19.206 0.031 0x00
OBS: 59376.390 i_PS1 NULL 2452.483 87.474 19.026 0.039 0x00
OBS: 59376.390 g_PS1 NULL 3567.861 79.221 18.619 0.024 0x00
OBS: 59380.350 g_PS1 NULL 4539.632 163.622 18.357 0.039 0x01
OBS: 59380.350 r_PS1 NULL 3837.469 127.091 18.540 0.036 0x00
OBS: 59382.270 z_PS1 NULL 2047.068 98.287 19.222 0.052 0x00
OBS: 59382.270 g_PS1 NULL 4230.252 94.352 18.434 0.024 0x00
OBS: 59383.270 i_PS1 NULL 2540.931 81.708 18.988 0.035 0x00
OBS: 59383.270 g_PS1 NULL 4299.552 96.969 18.416 0.024 0x00
OBS: 59384.270 g_PS1 NULL 4314.312 167.259 18.413 0.042 0x00
OBS: 59384.270 z_PS1 NULL 1920.319 139.623 19.292 0.079 0x00
OBS: 59386.330 i_PS1 NULL 2700.605 171.804 18.921 0.069 0x00
OBS: 59386.330 r_PS1 NULL 3546.475 164.220 18.626 0.050 0x00
OBS: 59388.310 r_PS1 NULL 3049.760 97.729 18.789 0.035 0x00
OBS: 59388.310 z_PS1 NULL 1342.969 84.903 19.680 0.069 0x00
OBS: 59391.300 r_PS1 NULL 3107.251 78.004 18.769 0.027 0x00
OBS: 59391.300 i_PS1 NULL 1716.515 69.375 19.413 0.044 0x00
OBS: 59398.300 g_PS1 NULL 1704.164 104.800 19.421 0.067 0x00
OBS: 59398.300 i_PS1 NULL 1187.129 106.068 19.814 0.097 0x00
