SURVEY: YSE
SNID:  2021orm
otherID: 
IAUC:    UNKNOWN
RA:        239.1836390  deg
DECL:       25.6740940  deg
MWEBV:    0.060 +- 0.003 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0741
REDSHIFT_CMB: 0.0744089022535741
REDSHIFT_FINAL: 0.07455911382533845
HOST_LOGMASS: 10.729928016662598
SEARCH_PEAKMJD: 59378.297
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021orm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.142 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59040.360 z_PS1 NULL 491.631 133.358 20.771 0.295 0x01
OBS: 59306.470 r_PS1 NULL 273.398 74.080 21.408 0.294 0x00
OBS: 59343.390 g_PS1 NULL 265.818 67.039 21.439 0.274 0x01
OBS: 59363.490 r_PS1 NULL 389.832 88.399 21.023 0.246 0x00
OBS: 59365.360 r_PS1 NULL 554.016 66.630 20.641 0.131 0x00
OBS: 59365.360 i_PS1 NULL 598.258 63.131 20.558 0.115 0x00
OBS: 59368.370 g_PS1 NULL 1976.969 108.950 19.260 0.060 0x01
OBS: 59368.370 z_PS1 NULL 1852.838 172.177 19.330 0.101 0x00
OBS: 59372.460 i_PS1 NULL 2318.567 84.141 19.087 0.039 0x01
OBS: 59372.460 g_PS1 NULL 2501.195 78.513 19.005 0.034 0x00
OBS: 59375.430 r_PS1 NULL 3233.476 113.798 18.726 0.038 0x00
OBS: 59375.430 g_PS1 NULL 3155.326 113.400 18.752 0.039 0x00
OBS: 59379.310 g_PS1 NULL 3245.121 74.100 18.722 0.025 0x00
OBS: 59379.320 i_PS1 NULL 2575.246 67.997 18.973 0.029 0x01
OBS: 59382.290 g_PS1 NULL 3001.443 98.951 18.807 0.036 0x01
OBS: 59382.290 i_PS1 NULL 2443.821 106.309 19.030 0.047 0x01
OBS: 59383.280 z_PS1 NULL 1611.632 152.307 19.482 0.103 0x00
OBS: 59383.290 g_PS1 NULL 2856.566 112.856 18.860 0.043 0x01
OBS: 59384.270 g_PS1 NULL 2494.957 135.214 19.007 0.059 0x00
OBS: 59384.270 i_PS1 NULL 2338.999 143.780 19.077 0.067 0x00
OBS: 59385.270 r_PS1 NULL 3467.966 126.857 18.650 0.040 0x00
OBS: 59385.270 z_PS1 NULL 1237.554 165.350 19.769 0.145 0x01
OBS: 59386.310 r_PS1 NULL 3017.516 432.679 18.801 0.156 0x00
OBS: 59386.310 i_PS1 NULL 2041.980 330.424 19.225 0.176 0x01
OBS: 59388.300 r_PS1 NULL 2315.911 110.135 19.088 0.052 0x00
OBS: 59388.300 z_PS1 NULL 1190.572 117.833 19.811 0.107 0x00
OBS: 59394.390 r_PS1 NULL 1813.561 64.878 19.354 0.039 0x00
OBS: 59394.400 z_PS1 NULL 1124.492 96.412 19.873 0.093 0x00
OBS: 59398.400 i_PS1 NULL 2010.068 165.152 19.242 0.089 0x00
OBS: 59398.410 g_PS1 NULL 718.294 70.363 20.359 0.106 0x00
OBS: 59399.400 g_PS1 NULL 635.712 68.127 20.492 0.116 0x00
OBS: 59399.400 r_PS1 NULL 1534.898 70.095 19.535 0.050 0x00
OBS: 59408.390 g_PS1 NULL 355.490 58.171 21.123 0.178 0x01
OBS: 59408.390 r_PS1 NULL 829.128 67.149 20.203 0.088 0x00
OBS: 59412.380 g_PS1 NULL 482.673 126.676 20.791 0.285 0x00
OBS: 59412.380 i_PS1 NULL 1127.485 119.450 19.870 0.115 0x00
OBS: 59414.330 r_PS1 NULL 551.408 106.124 20.646 0.209 0x00
OBS: 59414.340 i_PS1 NULL 1338.045 145.849 19.684 0.118 0x00
OBS: 59425.330 g_PS1 NULL 268.983 63.851 21.426 0.258 0x00
OBS: 59429.280 r_PS1 NULL 533.168 74.472 20.683 0.152 0x00
OBS: 59431.330 i_PS1 NULL 615.675 99.273 20.527 0.175 0x00
OBS: 59437.260 i_PS1 NULL 378.583 102.995 21.055 0.295 0x00
OBS: 59439.250 r_PS1 NULL 459.630 91.172 20.844 0.215 0x00
OBS: 59441.250 i_PS1 NULL 417.696 70.839 20.948 0.184 0x00
OBS: 59447.250 i_PS1 NULL 319.471 73.856 21.239 0.251 0x00
OBS: 59450.300 i_PS1 NULL 521.522 102.336 20.707 0.213 0x00
