SURVEY: YSE
SNID:  2021pby
otherID: 
IAUC:    UNKNOWN
RA:        322.4025330  deg
DECL:       12.9163770  deg
MWEBV:    0.095 +- 0.005 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.03
REDSHIFT_CMB: 0.02885578791238097
REDSHIFT_FINAL: 0.029941346956767007
HOST_LOGMASS: 10.62026615529369
SEARCH_PEAKMJD: 59386.377
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021pby.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.550 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59370.570 g_PS1 NULL 722.209 74.701 20.353 0.112 0x00
OBS: 59370.570 i_PS1 NULL 780.729 77.864 20.269 0.108 0x00
OBS: 59376.550 g_PS1 NULL 6755.709 106.321 17.926 0.017 0x00
OBS: 59376.560 i_PS1 NULL 5952.477 117.643 18.063 0.021 0x00
OBS: 59379.510 g_PS1 NULL 10478.804 152.267 17.449 0.016 0x01
OBS: 59382.510 g_PS1 NULL 12787.573 107.306 17.233 0.009 0x00
OBS: 59382.510 i_PS1 NULL 9288.291 81.517 17.580 0.010 0x00
OBS: 59383.560 z_PS1 NULL 8299.990 181.345 17.702 0.024 0x00
OBS: 59385.500 r_PS1 NULL 13696.153 252.307 17.159 0.020 0x01
OBS: 59385.500 z_PS1 NULL 7818.914 225.426 17.767 0.031 0x00
OBS: 59398.980 i_PS1 NULL 4881.744 136.044 18.279 0.030 0x00
OBS: 59399.460 g_PS1 NULL 4836.994 214.339 18.289 0.048 0x01
OBS: 59406.470 g_PS1 NULL 2158.620 84.950 19.165 0.043 0x00
OBS: 59409.430 g_PS1 NULL 1853.764 125.555 19.330 0.074 0x00
OBS: 59409.430 i_PS1 NULL 4890.492 151.588 18.277 0.034 0x00
OBS: 59412.600 g_PS1 NULL 1395.905 73.339 19.638 0.057 0x00
OBS: 59412.600 i_PS1 NULL 3887.422 69.977 18.526 0.020 0x00
OBS: 59415.410 z_PS1 NULL 3048.596 137.617 18.790 0.049 0x00
OBS: 59415.420 r_PS1 NULL 3207.629 82.322 18.735 0.028 0x00
OBS: 59425.410 g_PS1 NULL 960.982 62.623 20.043 0.071 0x00
OBS: 59425.410 z_PS1 NULL 1550.093 118.174 19.524 0.083 0x00
OBS: 59433.380 g_PS1 NULL 652.868 57.024 20.463 0.095 0x00
OBS: 59433.380 i_PS1 NULL 1248.254 72.306 19.759 0.063 0x01
OBS: 59434.510 r_PS1 NULL 1587.783 54.992 19.498 0.038 0x00
OBS: 59434.510 g_PS1 NULL 796.026 63.783 20.248 0.087 0x00
OBS: 59437.480 g_PS1 NULL 743.794 72.409 20.321 0.106 0x00
OBS: 59440.370 g_PS1 NULL 652.657 82.098 20.463 0.137 0x01
OBS: 59440.370 r_PS1 NULL 1208.934 100.961 19.794 0.091 0x01
OBS: 59442.380 z_PS1 NULL 583.368 96.961 20.585 0.180 0x00
OBS: 59442.380 g_PS1 NULL 765.860 53.330 20.290 0.076 0x00
OBS: 59445.380 i_PS1 NULL 804.112 95.942 20.237 0.130 0x00
OBS: 59445.390 r_PS1 NULL 1165.876 75.085 19.833 0.070 0x00
OBS: 59456.470 g_PS1 NULL 770.961 88.827 20.282 0.125 0x00
OBS: 59462.420 r_PS1 NULL 585.452 76.297 20.581 0.141 0x00
OBS: 59462.420 g_PS1 NULL 442.156 69.114 20.886 0.170 0x00
OBS: 59466.420 g_PS1 NULL 535.643 99.596 20.678 0.202 0x00
OBS: 59493.220 g_PS1 NULL 271.129 67.684 21.417 0.271 0x00
OBS: 59517.270 g_PS1 NULL 271.100 67.410 21.417 0.270 0x00
OBS: 59519.280 g_PS1 NULL 185.806 50.748 21.827 0.297 0x00
