SURVEY: YSE
SNID:  2021pci
otherID: 
IAUC:    UNKNOWN
RA:        238.5241090  deg
DECL:       24.5947590  deg
MWEBV:    0.038 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.070196
SIGMA_Z: 6.97e-06
REDSHIFT_CMB: 0.0705228454692357
REDSHIFT_FINAL: 0.0703249846265312
HOST_LOGMASS: 10.002707481384277
SEARCH_PEAKMJD: 59382.33
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021pci.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.209 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59368.370 g_PS1 NULL 431.198 98.196 20.913 0.247 0x00
OBS: 59372.460 g_PS1 NULL 1401.980 73.664 19.633 0.057 0x01
OBS: 59372.460 i_PS1 NULL 1362.230 77.992 19.664 0.062 0x01
OBS: 59375.430 r_PS1 NULL 2392.688 119.450 19.053 0.054 0x00
OBS: 59375.430 g_PS1 NULL 2041.243 117.823 19.225 0.063 0x00
OBS: 59379.310 g_PS1 NULL 2965.454 66.628 18.820 0.024 0x00
OBS: 59379.320 i_PS1 NULL 2351.866 79.275 19.071 0.037 0x00
OBS: 59382.290 g_PS1 NULL 3145.471 85.722 18.756 0.030 0x00
OBS: 59382.290 i_PS1 NULL 2178.680 57.121 19.155 0.028 0x00
OBS: 59383.280 z_PS1 NULL 1768.915 115.319 19.381 0.071 0x00
OBS: 59383.290 g_PS1 NULL 3062.202 118.361 18.785 0.042 0x00
OBS: 59384.270 i_PS1 NULL 2180.974 148.805 19.153 0.074 0x00
OBS: 59384.270 g_PS1 NULL 2902.742 111.843 18.843 0.042 0x00
OBS: 59385.270 r_PS1 NULL 3091.137 137.418 18.775 0.048 0x00
OBS: 59385.270 z_PS1 NULL 1535.369 124.304 19.534 0.088 0x00
OBS: 59386.310 i_PS1 NULL 2018.957 302.259 19.237 0.163 0x00
OBS: 59386.310 r_PS1 NULL 2901.011 396.237 18.844 0.148 0x00
OBS: 59388.300 r_PS1 NULL 2996.199 109.689 18.809 0.040 0x00
OBS: 59388.300 z_PS1 NULL 1499.467 120.340 19.560 0.087 0x00
OBS: 59391.410 r_PS1 NULL 2470.063 108.635 19.018 0.048 0x00
OBS: 59391.420 i_PS1 NULL 1575.098 95.451 19.507 0.066 0x00
OBS: 59394.390 r_PS1 NULL 2265.107 63.806 19.112 0.031 0x00
OBS: 59394.400 z_PS1 NULL 966.118 105.751 20.037 0.119 0x00
OBS: 59398.410 g_PS1 NULL 1199.754 109.676 19.802 0.099 0x01
OBS: 59399.400 g_PS1 NULL 1147.138 71.476 19.851 0.068 0x00
OBS: 59399.400 r_PS1 NULL 1748.041 84.560 19.394 0.053 0x00
OBS: 59408.390 r_PS1 NULL 1243.651 68.131 19.763 0.059 0x00
OBS: 59408.390 g_PS1 NULL 507.229 51.858 20.737 0.111 0x00
OBS: 59412.380 i_PS1 NULL 1245.932 111.090 19.761 0.097 0x00
OBS: 59414.330 r_PS1 NULL 1028.953 121.124 19.969 0.128 0x00
OBS: 59414.340 i_PS1 NULL 1272.594 141.324 19.738 0.121 0x00
OBS: 59425.330 z_PS1 NULL 527.405 103.321 20.695 0.213 0x00
OBS: 59425.330 g_PS1 NULL 225.406 57.626 21.618 0.278 0x00
OBS: 59429.280 r_PS1 NULL 315.909 70.504 21.251 0.242 0x00
OBS: 59431.330 i_PS1 NULL 507.042 84.457 20.737 0.181 0x00
OBS: 59437.260 i_PS1 NULL 467.430 88.573 20.826 0.206 0x00
OBS: 59441.250 i_PS1 NULL 348.950 72.144 21.143 0.224 0x00
OBS: 59442.260 g_PS1 NULL 319.402 82.482 21.239 0.280 0x00
OBS: 59447.250 r_PS1 NULL 368.984 77.163 21.082 0.227 0x00
OBS: 59447.250 i_PS1 NULL 408.288 64.707 20.973 0.172 0x00
