SURVEY: YSE
SNID:  2021qqo
otherID: 
IAUC:    UNKNOWN
RA:        186.0908680  deg
DECL:       9.2920260  deg
MWEBV:    0.019 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0234
REDSHIFT_CMB: 0.02455010225103882
REDSHIFT_FINAL: 0.02513695658080898
HOST_LOGMASS: 11.33165457592095
SEARCH_PEAKMJD: 59391.247
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021qqo.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.927 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59379.330 r_PS1 NULL 1831.452 123.275 19.343 0.073 0x00
OBS: 59379.330 g_PS1 NULL 1644.929 114.664 19.460 0.076 0x00
OBS: 59380.280 g_PS1 NULL 2922.983 149.260 18.835 0.055 0x00
OBS: 59380.280 i_PS1 NULL 2367.709 181.029 19.064 0.083 0x00
OBS: 59387.270 r_PS1 NULL 25171.075 243.334 16.498 0.010 0x00
OBS: 59387.280 i_PS1 NULL 18667.880 254.388 16.822 0.015 0x00
OBS: 59389.290 r_PS1 NULL 29726.170 260.959 16.317 0.010 0x01
OBS: 59389.300 z_PS1 NULL 16686.216 241.464 16.944 0.016 0x00
OBS: 59391.290 i_PS1 NULL 19878.777 177.348 16.754 0.010 0x00
OBS: 59391.290 r_PS1 NULL 32517.569 211.569 16.220 0.007 0x00
OBS: 59393.270 r_PS1 NULL 33928.721 206.713 16.174 0.007 0x00
OBS: 59393.270 z_PS1 NULL 17619.077 245.479 16.885 0.015 0x00
OBS: 59397.300 g_PS1 NULL 32517.272 223.372 16.220 0.007 0x00
OBS: 59397.300 z_PS1 NULL 15642.696 224.672 17.014 0.016 0x00
OBS: 59406.280 r_PS1 NULL 17879.570 191.793 16.869 0.012 0x00
OBS: 59406.280 g_PS1 NULL 18127.859 186.212 16.854 0.011 0x00
OBS: 59414.280 r_PS1 NULL 15495.005 265.342 17.025 0.019 0x01
OBS: 59414.280 z_PS1 NULL 13229.420 269.321 17.196 0.022 0x01
OBS: 59420.260 z_PS1 NULL 9951.489 282.961 17.505 0.031 0x00
OBS: 59420.270 r_PS1 NULL 9815.253 194.128 17.520 0.021 0x00
OBS: 59434.260 g_PS1 NULL 2720.317 181.745 18.913 0.073 0x01
OBS: 59434.260 r_PS1 NULL 4957.381 172.096 18.262 0.038 0x00
