SURVEY: YSE
SNID:  2021qxq
otherID: 
IAUC:    UNKNOWN
RA:        239.5826250  deg
DECL:       27.3760890  deg
MWEBV:    0.037 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0886
REDSHIFT_CMB: 0.08889525538898013
REDSHIFT_FINAL: 0.09163859619176945
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59416.31
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021qxq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.803 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59384.270 g_PS1 NULL 532.988 95.437 20.683 0.194 0x00
OBS: 59385.270 r_PS1 NULL 346.940 75.624 21.149 0.237 0x00
OBS: 59388.300 r_PS1 NULL 869.522 111.380 20.152 0.139 0x00
OBS: 59388.300 z_PS1 NULL 493.325 104.937 20.767 0.231 0x00
OBS: 59391.410 r_PS1 NULL 1300.153 69.342 19.715 0.058 0x00
OBS: 59391.420 i_PS1 NULL 1267.612 88.714 19.743 0.076 0x01
OBS: 59408.390 r_PS1 NULL 2289.996 62.837 19.100 0.030 0x00
OBS: 59408.390 g_PS1 NULL 1922.709 61.193 19.290 0.035 0x00
OBS: 59414.340 r_PS1 NULL 1805.035 101.503 19.359 0.061 0x00
OBS: 59414.340 i_PS1 NULL 1228.326 106.267 19.777 0.094 0x00
OBS: 59416.310 r_PS1 NULL 1142.533 190.291 19.855 0.181 0x00
OBS: 59422.330 i_PS1 NULL 1156.413 228.003 19.842 0.214 0x00
OBS: 59429.280 r_PS1 NULL 973.905 64.312 20.029 0.072 0x00
OBS: 59429.280 g_PS1 NULL 437.098 72.519 20.899 0.180 0x00
OBS: 59431.320 g_PS1 NULL 361.575 68.340 21.105 0.205 0x00
OBS: 59431.330 i_PS1 NULL 875.287 74.029 20.145 0.092 0x00
OBS: 59435.270 g_PS1 NULL 370.541 43.716 21.078 0.128 0x00
OBS: 59435.270 r_PS1 NULL 956.819 51.690 20.048 0.059 0x01
OBS: 59437.260 i_PS1 NULL 826.515 83.683 20.207 0.110 0x00
OBS: 59439.260 r_PS1 NULL 580.913 107.328 20.590 0.201 0x00
OBS: 59442.250 z_PS1 NULL 487.685 102.644 20.780 0.229 0x00
OBS: 59444.260 r_PS1 NULL 696.824 88.960 20.392 0.139 0x00
OBS: 59444.260 z_PS1 NULL 707.234 150.899 20.376 0.232 0x00
OBS: 59447.250 i_PS1 NULL 393.582 84.714 21.012 0.234 0x01
OBS: 59450.300 r_PS1 NULL 488.093 99.893 20.779 0.222 0x00
OBS: 59450.300 i_PS1 NULL 589.361 89.087 20.574 0.164 0x00
