SURVEY: YSE
SNID:  2021qxu
otherID: 
IAUC:    UNKNOWN
RA:        7.8723680  deg
DECL:       17.3833590  deg
MWEBV:    0.057 +- 0.003 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.038
REDSHIFT_CMB: 0.036814775249514264
REDSHIFT_FINAL: 0.03716787965359689
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59404.45
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021qxu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.318 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59393.600 r_PS1 NULL 5107.400 86.572 18.230 0.018 0x00
OBS: 59393.600 i_PS1 NULL 5144.204 105.023 18.222 0.022 0x00
OBS: 59400.570 r_PS1 NULL 9385.898 97.542 17.569 0.011 0x00
OBS: 59400.570 g_PS1 NULL 8131.166 102.471 17.725 0.014 0x00
OBS: 59401.550 i_PS1 NULL 7550.586 133.740 17.805 0.019 0x00
OBS: 59401.560 g_PS1 NULL 7914.565 129.372 17.754 0.018 0x00
OBS: 59406.580 g_PS1 NULL 7502.856 141.492 17.812 0.020 0x00
OBS: 59410.560 r_PS1 NULL 8451.338 108.013 17.683 0.014 0x00
OBS: 59410.570 g_PS1 NULL 6188.521 120.867 18.021 0.021 0x00
OBS: 59412.510 g_PS1 NULL 5311.458 101.962 18.187 0.021 0x00
OBS: 59412.520 i_PS1 NULL 4924.956 94.154 18.269 0.021 0x01
OBS: 59417.520 r_PS1 NULL 6479.444 132.476 17.971 0.022 0x00
OBS: 59417.520 z_PS1 NULL 4630.826 206.299 18.336 0.048 0x00
OBS: 59420.560 r_PS1 NULL 6054.432 146.378 18.045 0.026 0x01
OBS: 59420.560 i_PS1 NULL 4450.280 125.087 18.379 0.031 0x00
OBS: 59431.470 i_PS1 NULL 4077.390 109.643 18.474 0.029 0x00
OBS: 59431.480 g_PS1 NULL 1084.331 65.818 19.912 0.066 0x01
OBS: 59435.460 r_PS1 NULL 2922.888 66.289 18.835 0.025 0x00
OBS: 59435.460 g_PS1 NULL 816.311 65.183 20.220 0.087 0x01
OBS: 59438.610 i_PS1 NULL 2720.066 72.265 18.914 0.029 0x00
OBS: 59438.620 g_PS1 NULL 762.968 52.812 20.294 0.075 0x00
OBS: 59441.590 g_PS1 NULL 829.739 53.565 20.203 0.070 0x00
OBS: 59441.600 i_PS1 NULL 2220.267 86.449 19.134 0.042 0x00
OBS: 59446.590 r_PS1 NULL 1747.205 72.273 19.394 0.045 0x00
OBS: 59446.590 i_PS1 NULL 1941.920 77.422 19.279 0.043 0x00
OBS: 59448.590 r_PS1 NULL 1683.668 133.873 19.434 0.086 0x00
OBS: 59448.600 z_PS1 NULL 1661.314 125.979 19.449 0.082 0x00
OBS: 59455.600 z_PS1 NULL 1171.500 160.518 19.828 0.149 0x00
OBS: 59458.580 g_PS1 NULL 444.393 118.772 20.881 0.290 0x01
OBS: 59464.400 i_PS1 NULL 1092.562 104.379 19.904 0.104 0x00
OBS: 59470.390 g_PS1 NULL 364.170 65.116 21.097 0.194 0x00
OBS: 59470.390 i_PS1 NULL 724.470 79.452 20.350 0.119 0x00
OBS: 59475.510 r_PS1 NULL 1213.803 276.587 19.790 0.247 0x00
OBS: 59482.490 z_PS1 NULL 462.907 105.353 20.836 0.247 0x00
OBS: 59482.490 r_PS1 NULL 664.754 84.652 20.443 0.138 0x00
OBS: 59485.520 g_PS1 NULL 472.919 96.662 20.813 0.222 0x00
OBS: 59488.340 i_PS1 NULL 426.588 116.520 20.925 0.297 0x00
OBS: 59514.410 i_PS1 NULL 319.344 61.587 21.239 0.209 0x00
OBS: 59517.280 g_PS1 NULL 300.970 61.024 21.304 0.220 0x00
OBS: 59519.270 r_PS1 NULL 245.819 52.984 21.523 0.234 0x01
OBS: 59525.380 g_PS1 NULL 371.447 64.170 21.075 0.188 0x00
