SURVEY: YSE
SNID:  2021rdf
otherID: 
IAUC:    UNKNOWN
RA:        2.4819580  deg
DECL:       19.9760390  deg
MWEBV:    0.028 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.109087
SIGMA_Z: 1.68e-05
REDSHIFT_CMB: 0.10779616902985123
REDSHIFT_FINAL: 0.11258065071136647
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59120.37
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021rdf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.232 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59387.580 i_PS1 NULL 271.316 65.038 21.416 0.260 0x00
OBS: 59387.590 r_PS1 NULL 333.316 53.793 21.193 0.175 0x00
OBS: 59393.600 r_PS1 NULL 1178.901 60.276 19.821 0.056 0x01
OBS: 59393.600 i_PS1 NULL 1120.369 77.784 19.877 0.075 0x01
OBS: 59400.570 g_PS1 NULL 2205.278 60.039 19.141 0.030 0x00
OBS: 59400.570 r_PS1 NULL 2139.830 48.002 19.174 0.024 0x00
OBS: 59401.550 i_PS1 NULL 1580.039 78.106 19.503 0.054 0x00
OBS: 59401.560 g_PS1 NULL 2469.345 70.259 19.019 0.031 0x00
OBS: 59406.570 g_PS1 NULL 2312.222 96.870 19.090 0.045 0x00
OBS: 59406.580 r_PS1 NULL 2408.133 76.118 19.046 0.034 0x00
OBS: 59410.560 r_PS1 NULL 2092.449 76.225 19.198 0.040 0x00
OBS: 59410.570 g_PS1 NULL 1728.668 93.557 19.406 0.059 0x00
OBS: 59412.510 g_PS1 NULL 1677.042 69.260 19.439 0.045 0x00
OBS: 59412.520 i_PS1 NULL 1355.377 73.591 19.670 0.059 0x00
OBS: 59414.560 r_PS1 NULL 1844.817 68.727 19.335 0.040 0x00
OBS: 59417.520 r_PS1 NULL 1523.255 142.239 19.543 0.101 0x00
OBS: 59420.560 i_PS1 NULL 1011.408 108.093 19.988 0.116 0x00
OBS: 59420.560 r_PS1 NULL 1532.044 122.308 19.537 0.087 0x00
OBS: 59428.520 z_PS1 NULL 549.775 84.953 20.650 0.168 0x00
OBS: 59428.530 g_PS1 NULL 537.405 67.496 20.674 0.136 0x00
OBS: 59431.470 i_PS1 NULL 914.945 75.876 20.097 0.090 0x00
OBS: 59431.480 g_PS1 NULL 333.528 56.034 21.192 0.182 0x00
OBS: 59435.460 g_PS1 NULL 425.592 47.381 20.928 0.121 0x00
OBS: 59435.460 r_PS1 NULL 796.841 44.803 20.247 0.061 0x00
OBS: 59438.610 i_PS1 NULL 615.784 46.230 20.526 0.082 0x00
OBS: 59438.620 g_PS1 NULL 330.902 46.957 21.201 0.154 0x00
OBS: 59441.590 g_PS1 NULL 226.991 54.888 21.610 0.263 0x00
OBS: 59441.600 i_PS1 NULL 640.843 76.157 20.483 0.129 0x00
OBS: 59446.590 r_PS1 NULL 439.565 65.346 20.892 0.161 0x00
OBS: 59446.590 i_PS1 NULL 513.412 61.144 20.724 0.129 0x00
OBS: 59458.580 i_PS1 NULL 521.202 104.548 20.707 0.218 0x00
OBS: 59482.490 r_PS1 NULL 229.597 50.854 21.598 0.240 0x00
OBS: 59491.490 r_PS1 NULL 200.804 44.948 21.743 0.243 0x00
