SURVEY: YSE
SNID:  2021rhu
otherID: 
IAUC:    UNKNOWN
RA:        0.8143060  deg
DECL:       16.1456900  deg
MWEBV:    0.038 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.003506
SIGMA_Z: 5e-06
REDSHIFT_CMB: 0.0023148070187393177
REDSHIFT_FINAL: 0.0021221014172411235
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59409.447
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021rhu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.510 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59438.610 i_PS1 NULL 233266.478 529.510 14.080 0.002 0x00
OBS: 59438.610 g_PS1 NULL 120499.716 368.138 14.798 0.003 0x00
OBS: 59441.590 g_PS1 NULL 108717.190 367.968 14.909 0.004 0x00
OBS: 59441.590 i_PS1 NULL 217203.925 451.813 14.158 0.002 0x00
OBS: 59446.590 r_PS1 NULL 172780.084 374.479 14.406 0.002 0x00
OBS: 59446.590 i_PS1 NULL 165887.150 440.836 14.450 0.003 0x00
OBS: 59448.590 r_PS1 NULL 158871.607 374.065 14.497 0.003 0x00
OBS: 59448.590 z_PS1 NULL 156681.306 511.962 14.512 0.004 0x00
OBS: 59455.590 z_PS1 NULL 106165.194 472.966 14.935 0.005 0x00
OBS: 59455.600 g_PS1 NULL 63224.704 612.832 15.498 0.011 0x00
OBS: 59458.580 g_PS1 NULL 64576.106 258.993 15.475 0.004 0x00
OBS: 59458.580 i_PS1 NULL 94515.596 343.294 15.061 0.004 0x00
OBS: 59467.560 g_PS1 NULL 56595.873 264.874 15.618 0.005 0x00
OBS: 59467.560 r_PS1 NULL 78203.356 286.648 15.267 0.004 0x00
OBS: 59475.510 r_PS1 NULL 57731.293 536.912 15.596 0.010 0x00
OBS: 59475.520 i_PS1 NULL 53851.609 604.360 15.672 0.012 0x00
OBS: 59482.490 z_PS1 NULL 27885.109 270.594 16.387 0.011 0x00
OBS: 59491.490 r_PS1 NULL 33746.490 223.064 16.179 0.007 0x00
OBS: 59491.500 g_PS1 NULL 35484.061 254.257 16.125 0.008 0x00
OBS: 59500.440 i_PS1 NULL 25095.971 293.006 16.501 0.013 0x00
OBS: 59500.440 g_PS1 NULL 30600.571 201.131 16.286 0.007 0x00
OBS: 59525.370 i_PS1 NULL 13832.065 168.303 17.148 0.013 0x00
OBS: 59525.380 g_PS1 NULL 18969.722 149.900 16.805 0.009 0x00
