SURVEY: YSE
SNID:  2021ryz
otherID: 
IAUC:    UNKNOWN
RA:        228.0048980  deg
DECL:       -3.2222830  deg
MWEBV:    0.126 +- 0.006 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.021612
SIGMA_Z: 0.000103
REDSHIFT_CMB: 0.022241710266552195
REDSHIFT_FINAL: 0.022127407888293177
HOST_LOGMASS: 10.281571863061584
HOST_LOGMASS_ERR: 0.2065096048597423
HOST_LOGSFR: 0.5123588885194331
HOST_LOGSFR_ERR: 0.28077753950474404
SEARCH_PEAKMJD: 59415.193
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ryz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.723 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59052.410 i_PS1 NULL 646.883 124.447 20.473 0.209 0x00
OBS: 59397.300 g_PS1 NULL 1756.374 96.859 19.388 0.060 0x00
OBS: 59397.310 z_PS1 NULL 1727.469 111.575 19.406 0.070 0x00
OBS: 59402.300 g_PS1 NULL 7448.848 113.267 17.820 0.017 0x00
OBS: 59402.310 r_PS1 NULL 9531.370 104.851 17.552 0.012 0x00
OBS: 59403.300 i_PS1 NULL 10479.300 149.026 17.449 0.015 0x00
OBS: 59403.300 g_PS1 NULL 10243.465 134.780 17.474 0.014 0x00
OBS: 59404.300 g_PS1 NULL 12735.620 135.116 17.237 0.012 0x00
OBS: 59404.300 r_PS1 NULL 14298.320 158.608 17.112 0.012 0x01
OBS: 59405.310 i_PS1 NULL 14936.984 249.865 17.064 0.018 0x00
OBS: 59405.310 g_PS1 NULL 15077.909 197.406 17.054 0.014 0x00
OBS: 59408.280 r_PS1 NULL 24383.805 198.882 16.532 0.009 0x00
OBS: 59408.280 g_PS1 NULL 22034.047 166.594 16.642 0.008 0x00
OBS: 59410.270 i_PS1 NULL 23276.776 189.302 16.583 0.009 0x00
OBS: 59410.270 g_PS1 NULL 25239.192 204.781 16.495 0.009 0x00
OBS: 59417.280 r_PS1 NULL 33864.063 402.224 16.176 0.013 0x00
OBS: 59423.280 z_PS1 NULL 19236.326 337.045 16.790 0.019 0x00
OBS: 59423.290 r_PS1 NULL 29529.804 205.280 16.324 0.008 0x00
OBS: 59424.270 r_PS1 NULL 27036.484 229.259 16.420 0.009 0x00
OBS: 59424.270 i_PS1 NULL 16375.119 200.611 16.965 0.013 0x00
OBS: 59426.280 g_PS1 NULL 21098.741 163.391 16.689 0.008 0x00
OBS: 59426.280 i_PS1 NULL 14428.497 163.212 17.102 0.012 0x00
OBS: 59428.270 g_PS1 NULL 18308.555 205.310 16.843 0.012 0x00
OBS: 59428.270 i_PS1 NULL 13136.567 165.532 17.204 0.014 0x00
OBS: 59430.270 g_PS1 NULL 15081.033 198.691 17.054 0.014 0x00
OBS: 59430.270 r_PS1 NULL 20570.984 149.602 16.717 0.008 0x00
OBS: 59432.280 i_PS1 NULL 12305.468 172.407 17.275 0.015 0x00
OBS: 59432.280 g_PS1 NULL 12750.673 175.607 17.236 0.015 0x00
OBS: 59435.280 g_PS1 NULL 9924.762 138.340 17.508 0.015 0x00
OBS: 59435.280 r_PS1 NULL 17960.205 180.545 16.864 0.011 0x00
OBS: 59437.270 i_PS1 NULL 13864.353 206.955 17.145 0.016 0x00
OBS: 59437.270 g_PS1 NULL 8281.745 209.979 17.705 0.028 0x00
OBS: 59444.270 r_PS1 NULL 14405.906 176.303 17.104 0.013 0x00
OBS: 59446.270 r_PS1 NULL 13477.291 164.721 17.176 0.013 0x00
OBS: 59446.270 i_PS1 NULL 13893.225 182.235 17.143 0.014 0x00
OBS: 59448.280 r_PS1 NULL 11920.631 145.033 17.309 0.013 0x00
OBS: 59451.250 i_PS1 NULL 11837.056 167.437 17.317 0.015 0x00
OBS: 59451.260 r_PS1 NULL 10655.026 165.977 17.431 0.017 0x00
OBS: 59453.260 r_PS1 NULL 9674.068 110.977 17.536 0.012 0x00
OBS: 59453.260 i_PS1 NULL 9874.408 157.298 17.514 0.017 0x00
OBS: 59454.250 r_PS1 NULL 8550.141 163.423 17.670 0.021 0x00
OBS: 59454.260 z_PS1 NULL 10817.360 212.729 17.415 0.021 0x00
OBS: 59455.250 g_PS1 NULL 3206.969 137.965 18.735 0.047 0x00
OBS: 59457.250 i_PS1 NULL 7855.503 123.279 17.762 0.017 0x00
OBS: 59457.250 g_PS1 NULL 2669.740 70.793 18.934 0.029 0x00
OBS: 59462.250 i_PS1 NULL 7327.224 244.581 17.838 0.036 0x00
OBS: 59465.250 g_PS1 NULL 2152.231 108.918 19.168 0.055 0x00
OBS: 59465.250 r_PS1 NULL 6008.764 105.281 18.053 0.019 0x00
