SURVEY: YSE
SNID:  2021sbc
otherID: 
IAUC:    UNKNOWN
RA:        317.7719750  deg
DECL:       13.0787330  deg
MWEBV:    0.071 +- 0.004 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.1
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.09882761230698045
REDSHIFT_FINAL: 0.09947668530073561
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59408.378
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021sbc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.916 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59398.980 i_PS1 NULL 705.531 74.019 20.389 0.117 0x00
OBS: 59398.980 g_PS1 NULL 807.396 69.099 20.286 0.116 0x00
OBS: 59406.460 r_PS1 NULL 2048.664 100.682 19.221 0.053 0x01
OBS: 59406.470 g_PS1 NULL 2239.337 90.232 19.125 0.044 0x00
OBS: 59409.430 g_PS1 NULL 2395.034 74.614 19.052 0.034 0x00
OBS: 59409.430 i_PS1 NULL 1473.666 163.643 19.579 0.121 0x00
OBS: 59412.600 g_PS1 NULL 2186.026 84.275 19.151 0.042 0x00
OBS: 59412.600 i_PS1 NULL 1571.364 53.674 19.509 0.037 0x00
OBS: 59414.550 i_PS1 NULL 1505.616 110.751 19.556 0.080 0x00
OBS: 59414.990 r_PS1 NULL 2185.465 71.924 19.151 0.036 0x00
OBS: 59415.410 z_PS1 NULL 637.472 86.621 20.489 0.148 0x01
OBS: 59425.410 z_PS1 NULL 606.477 113.934 20.543 0.204 0x00
OBS: 59425.410 g_PS1 NULL 1211.696 77.906 19.792 0.070 0x00
OBS: 59427.370 g_PS1 NULL 1230.956 126.050 19.774 0.111 0x00
OBS: 59427.380 i_PS1 NULL 658.939 94.531 20.453 0.156 0x00
OBS: 59430.430 g_PS1 NULL 696.905 54.757 20.392 0.085 0x00
OBS: 59433.370 i_PS1 NULL 776.708 59.874 20.274 0.084 0x00
OBS: 59433.380 g_PS1 NULL 692.872 46.406 20.398 0.073 0x00
OBS: 59434.510 r_PS1 NULL 986.947 56.158 20.014 0.062 0x01
OBS: 59434.510 g_PS1 NULL 742.850 49.180 20.323 0.072 0x00
OBS: 59437.470 g_PS1 NULL 463.111 50.220 20.836 0.118 0x00
OBS: 59437.480 i_PS1 NULL 876.989 90.593 20.143 0.112 0x00
OBS: 59440.370 g_PS1 NULL 330.698 67.046 21.201 0.220 0x01
OBS: 59440.370 r_PS1 NULL 818.019 80.382 20.218 0.107 0x00
OBS: 59442.380 z_PS1 NULL 502.018 87.095 20.748 0.188 0x00
OBS: 59442.380 g_PS1 NULL 401.655 65.929 20.990 0.178 0x00
OBS: 59451.320 r_PS1 NULL 705.461 119.419 20.379 0.184 0x00
OBS: 59453.430 r_PS1 NULL 500.239 74.847 20.752 0.162 0x00
OBS: 59453.440 i_PS1 NULL 492.866 75.238 20.768 0.166 0x00
OBS: 59456.480 i_PS1 NULL 436.498 72.377 20.900 0.180 0x00
OBS: 59462.410 r_PS1 NULL 384.092 56.303 21.039 0.159 0x00
OBS: 59484.230 r_PS1 NULL 276.515 69.598 21.396 0.273 0x00
OBS: 59488.270 g_PS1 NULL 220.962 60.385 21.639 0.297 0x00
OBS: 59491.230 g_PS1 NULL 158.563 43.367 21.999 0.297 0x00
