SURVEY: YSE
SNID:  2021sun
otherID: 
IAUC:    UNKNOWN
RA:        22.9756600  deg
DECL:       -13.4218160  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.036
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.03502780866889377
REDSHIFT_FINAL: 0.03553795205882064
HOST_LOGMASS: 10.11262352125479
SEARCH_PEAKMJD: 59412.419
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021sun.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.904 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59428.580 g_PS1 NULL 4090.396 122.992 18.471 0.033 0x00
OBS: 59428.580 z_PS1 NULL 3171.668 161.022 18.747 0.055 0x00
OBS: 59430.610 g_PS1 NULL 3323.600 87.137 18.696 0.028 0x00
OBS: 59430.610 i_PS1 NULL 3531.565 121.714 18.630 0.037 0x00
OBS: 59433.590 g_PS1 NULL 2604.059 118.607 18.961 0.049 0x00
OBS: 59433.590 r_PS1 NULL 6077.922 145.267 18.041 0.026 0x00
OBS: 59434.590 g_PS1 NULL 2109.097 86.828 19.190 0.045 0x00
OBS: 59434.590 i_PS1 NULL 3989.199 117.958 18.498 0.032 0x00
OBS: 59436.590 r_PS1 NULL 5289.586 104.076 18.191 0.021 0x00
OBS: 59436.590 g_PS1 NULL 1776.155 76.010 19.376 0.046 0x00
OBS: 59438.620 i_PS1 NULL 4018.965 119.003 18.490 0.032 0x00
OBS: 59438.620 g_PS1 NULL 1568.243 88.065 19.511 0.061 0x00
OBS: 59440.560 r_PS1 NULL 4026.004 115.209 18.488 0.031 0x00
OBS: 59440.560 g_PS1 NULL 1469.255 91.881 19.582 0.068 0x00
OBS: 59445.560 r_PS1 NULL 2700.773 106.384 18.921 0.043 0x00
OBS: 59445.560 z_PS1 NULL 2337.134 149.981 19.078 0.070 0x00
OBS: 59447.560 r_PS1 NULL 3298.562 105.928 18.704 0.035 0x00
OBS: 59455.600 g_PS1 NULL 487.728 113.989 20.780 0.254 0x00
OBS: 59455.610 i_PS1 NULL 1615.838 118.290 19.479 0.079 0x00
OBS: 59464.570 g_PS1 NULL 768.870 100.492 20.285 0.142 0x00
OBS: 59464.570 r_PS1 NULL 1747.138 147.178 19.394 0.091 0x00
OBS: 59466.550 g_PS1 NULL 662.529 78.645 20.447 0.129 0x00
OBS: 59466.550 i_PS1 NULL 904.799 95.788 20.109 0.115 0x00
OBS: 59468.570 g_PS1 NULL 509.172 92.544 20.733 0.197 0x00
OBS: 59468.580 r_PS1 NULL 1503.368 113.961 19.557 0.082 0x00
OBS: 59470.400 z_PS1 NULL 804.783 157.303 20.236 0.212 0x00
OBS: 59470.400 g_PS1 NULL 487.120 92.749 20.781 0.207 0x00
OBS: 59482.480 r_PS1 NULL 1175.069 120.398 19.825 0.111 0x00
OBS: 59484.470 r_PS1 NULL 1206.259 103.834 19.796 0.093 0x00
OBS: 59484.470 i_PS1 NULL 645.629 118.364 20.475 0.199 0x00
OBS: 59487.490 i_PS1 NULL 1228.273 93.584 19.777 0.083 0x00
OBS: 59487.500 g_PS1 NULL 504.579 88.817 20.743 0.191 0x00
OBS: 59493.480 r_PS1 NULL 766.459 95.578 20.289 0.135 0x00
OBS: 59493.480 g_PS1 NULL 399.218 83.799 20.997 0.228 0x00
OBS: 59500.450 i_PS1 NULL 586.305 145.880 20.580 0.270 0x00
OBS: 59515.370 g_PS1 NULL 416.928 90.978 20.950 0.237 0x01
OBS: 59518.420 g_PS1 NULL 559.249 77.520 20.631 0.150 0x00
OBS: 59518.430 i_PS1 NULL 467.493 107.004 20.826 0.249 0x00
OBS: 59524.380 r_PS1 NULL 768.312 94.871 20.286 0.134 0x00
