SURVEY: YSE
SNID:  2021sve
otherID: 
IAUC:    UNKNOWN
RA:        249.6685140  deg
DECL:       32.5485030  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.052446
SIGMA_Z: 0.000023
REDSHIFT_CMB: 0.05436908241849481
REDSHIFT_FINAL: 0.05520389041941809
HOST_LOGMASS: 11.573668007670014
SEARCH_PEAKMJD: 59414.261
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021sve.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.401 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59408.400 g_PS1 NULL 4040.881 58.078 18.484 0.016 0x00
OBS: 59408.400 r_PS1 NULL 3679.293 54.335 18.586 0.016 0x00
OBS: 59412.270 g_PS1 NULL 6149.935 108.943 18.028 0.019 0x00
OBS: 59412.270 i_PS1 NULL 4563.103 96.317 18.352 0.023 0x00
OBS: 59413.270 g_PS1 NULL 6093.911 178.969 18.038 0.032 0x01
OBS: 59413.270 z_PS1 NULL 3564.760 232.881 18.620 0.071 0x00
OBS: 59414.330 r_PS1 NULL 5560.788 124.623 18.137 0.024 0x00
OBS: 59414.330 i_PS1 NULL 4159.728 125.859 18.452 0.033 0x00
OBS: 59416.310 z_PS1 NULL 3646.726 324.190 18.595 0.097 0x00
OBS: 59416.310 r_PS1 NULL 6321.560 194.318 17.998 0.033 0x00
OBS: 59419.300 r_PS1 NULL 5641.463 132.458 18.122 0.025 0x00
OBS: 59422.330 r_PS1 NULL 4543.781 385.953 18.356 0.092 0x00
OBS: 59425.260 i_PS1 NULL 2484.179 89.148 19.012 0.039 0x00
OBS: 59425.270 g_PS1 NULL 2929.452 84.277 18.833 0.031 0x00
OBS: 59426.260 z_PS1 NULL 2694.572 122.980 18.924 0.050 0x00
OBS: 59426.270 g_PS1 NULL 2568.572 64.282 18.976 0.027 0x00
OBS: 59429.270 r_PS1 NULL 3351.992 85.035 18.687 0.028 0x00
OBS: 59429.280 g_PS1 NULL 1848.879 65.299 19.333 0.038 0x00
OBS: 59432.340 g_PS1 NULL 1387.803 62.346 19.644 0.049 0x00
OBS: 59432.340 i_PS1 NULL 2903.816 83.750 18.843 0.031 0x00
OBS: 59436.260 r_PS1 NULL 2062.796 56.440 19.214 0.030 0x00
OBS: 59436.260 g_PS1 NULL 1004.506 63.514 19.995 0.069 0x00
OBS: 59438.260 i_PS1 NULL 2030.046 66.849 19.231 0.036 0x00
OBS: 59438.260 g_PS1 NULL 842.650 63.966 20.186 0.082 0x00
OBS: 59440.260 g_PS1 NULL 588.922 69.498 20.575 0.128 0x00
OBS: 59440.260 r_PS1 NULL 1431.126 98.463 19.611 0.075 0x00
OBS: 59442.260 z_PS1 NULL 1443.158 115.141 19.602 0.087 0x00
OBS: 59442.260 g_PS1 NULL 537.667 94.168 20.674 0.190 0x00
OBS: 59447.260 i_PS1 NULL 1147.945 83.924 19.850 0.079 0x01
OBS: 59447.260 r_PS1 NULL 1136.254 78.794 19.861 0.075 0x00
OBS: 59450.300 r_PS1 NULL 991.271 92.185 20.010 0.101 0x00
OBS: 59450.310 i_PS1 NULL 862.117 96.361 20.161 0.121 0x00
OBS: 59452.310 r_PS1 NULL 909.185 99.243 20.103 0.119 0x00
OBS: 59452.320 z_PS1 NULL 774.521 103.940 20.277 0.146 0x00
OBS: 59454.270 i_PS1 NULL 783.882 88.431 20.264 0.122 0x00
OBS: 59454.270 r_PS1 NULL 963.054 99.674 20.041 0.112 0x00
OBS: 59456.260 i_PS1 NULL 784.092 62.354 20.264 0.086 0x00
OBS: 59469.240 i_PS1 NULL 400.817 95.644 20.993 0.259 0x00
OBS: 59476.240 i_PS1 NULL 378.449 99.626 21.055 0.286 0x00
