SURVEY: YSE
SNID:  2021tsj
otherID: 
IAUC:    UNKNOWN
RA:        239.1918590  deg
DECL:       28.7582740  deg
MWEBV:    0.037 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.077279
SIGMA_Z: 2.17e-05
REDSHIFT_CMB: 0.07757053992612617
REDSHIFT_FINAL: 0.07758767567128057
HOST_LOGMASS: 11.016839027404785
SEARCH_PEAKMJD: 59425.198
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021tsj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0006
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.126 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59408.390 r_PS1 NULL 493.826 80.595 20.766 0.177 0x00
OBS: 59408.390 g_PS1 NULL 223.326 60.369 21.628 0.293 0x00
OBS: 59412.380 i_PS1 NULL 867.549 139.786 20.154 0.175 0x00
OBS: 59412.380 g_PS1 NULL 822.914 122.253 20.212 0.161 0x00
OBS: 59414.340 i_PS1 NULL 1546.329 143.343 19.527 0.101 0x00
OBS: 59414.340 r_PS1 NULL 1506.329 130.956 19.555 0.094 0x00
OBS: 59416.310 r_PS1 NULL 2118.452 179.647 19.185 0.092 0x00
OBS: 59422.330 i_PS1 NULL 1200.674 329.303 19.801 0.298 0x00
OBS: 59425.330 z_PS1 NULL 895.284 173.731 20.120 0.211 0x00
OBS: 59425.330 g_PS1 NULL 2539.493 89.716 18.988 0.038 0x00
OBS: 59429.280 g_PS1 NULL 2165.122 147.222 19.161 0.074 0x00
OBS: 59431.320 g_PS1 NULL 1771.403 77.968 19.379 0.048 0x00
OBS: 59431.330 i_PS1 NULL 612.881 131.553 20.532 0.233 0x00
OBS: 59435.270 g_PS1 NULL 1205.422 66.604 19.797 0.060 0x00
OBS: 59435.270 r_PS1 NULL 1791.630 81.693 19.367 0.050 0x00
OBS: 59437.260 i_PS1 NULL 1367.053 155.678 19.661 0.124 0x00
OBS: 59437.260 g_PS1 NULL 684.065 132.260 20.412 0.210 0x00
OBS: 59439.260 r_PS1 NULL 772.120 190.098 20.281 0.267 0x01
OBS: 59441.250 i_PS1 NULL 874.171 109.472 20.146 0.136 0x00
OBS: 59441.260 g_PS1 NULL 413.881 84.882 20.958 0.223 0x00
OBS: 59442.260 g_PS1 NULL 326.104 82.621 21.217 0.275 0x00
OBS: 59444.260 r_PS1 NULL 1240.200 103.118 19.766 0.090 0x00
OBS: 59447.250 r_PS1 NULL 1093.951 82.951 19.903 0.082 0x00
OBS: 59447.250 i_PS1 NULL 516.982 102.270 20.716 0.215 0x00
OBS: 59450.300 r_PS1 NULL 656.399 123.203 20.457 0.204 0x00
OBS: 59450.300 i_PS1 NULL 780.654 136.872 20.269 0.190 0x00
