SURVEY: YSE
SNID:  2021uhl
otherID: 
IAUC:    UNKNOWN
RA:        334.5878830  deg
DECL:       6.1224830  deg
MWEBV:    0.086 +- 0.004 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.07521
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.07391929748965986
REDSHIFT_FINAL: 0.07422218073277881
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59426.36
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021uhl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.148 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59415.510 r_PS1 NULL 462.124 68.635 20.838 0.161 0x00
OBS: 59427.390 i_PS1 NULL 2522.339 120.854 18.995 0.052 0x00
OBS: 59427.390 g_PS1 NULL 3273.494 120.924 18.712 0.040 0x00
OBS: 59433.390 r_PS1 NULL 2832.369 113.692 18.870 0.044 0x01
OBS: 59434.520 i_PS1 NULL 1807.422 66.156 19.357 0.040 0x00
OBS: 59434.520 g_PS1 NULL 2467.013 74.607 19.020 0.033 0x00
OBS: 59437.400 r_PS1 NULL 2804.336 101.472 18.880 0.039 0x00
OBS: 59437.400 g_PS1 NULL 2093.815 115.705 19.198 0.060 0x00
OBS: 59441.430 g_PS1 NULL 1549.215 78.297 19.525 0.055 0x00
OBS: 59441.440 z_PS1 NULL 738.994 105.569 20.328 0.155 0x00
OBS: 59443.430 i_PS1 NULL 1008.170 106.879 19.991 0.115 0x00
OBS: 59443.430 g_PS1 NULL 1362.618 118.335 19.664 0.094 0x00
OBS: 59445.390 r_PS1 NULL 1688.161 107.455 19.431 0.069 0x00
OBS: 59445.390 z_PS1 NULL 757.616 96.667 20.301 0.139 0x00
OBS: 59452.580 r_PS1 NULL 1475.187 168.612 19.578 0.124 0x00
OBS: 59452.580 i_PS1 NULL 1291.335 157.944 19.722 0.133 0x01
OBS: 59454.560 z_PS1 NULL 1147.702 205.218 19.850 0.194 0x00
OBS: 59454.570 r_PS1 NULL 1274.829 76.996 19.736 0.066 0x00
OBS: 59457.410 i_PS1 NULL 1177.655 59.152 19.822 0.055 0x00
OBS: 59457.420 g_PS1 NULL 361.123 58.139 21.106 0.175 0x00
OBS: 59464.390 i_PS1 NULL 920.892 67.394 20.089 0.079 0x00
OBS: 59467.340 r_PS1 NULL 545.549 60.495 20.658 0.120 0x00
OBS: 59467.340 g_PS1 NULL 287.812 67.731 21.352 0.256 0x00
OBS: 59469.280 i_PS1 NULL 556.127 91.113 20.637 0.178 0x00
OBS: 59479.470 i_PS1 NULL 703.171 137.800 20.382 0.213 0x00
OBS: 59480.470 z_PS1 NULL 454.122 118.844 20.857 0.284 0x00
OBS: 59480.470 r_PS1 NULL 537.121 84.870 20.675 0.172 0x00
OBS: 59493.230 g_PS1 NULL 236.198 60.174 21.567 0.277 0x00
OBS: 59527.210 g_PS1 NULL 428.562 94.597 20.920 0.240 0x00
