SURVEY: YSE
SNID:  2021uiq
otherID: 
IAUC:    UNKNOWN
RA:        228.5337210  deg
DECL:       1.1267440  deg
MWEBV:    0.045 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-CSM
REDSHIFT_HELIO: 0.126
REDSHIFT_CMB: 0.12667109852327507
REDSHIFT_FINAL: 0.13193967674797208
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59450.184
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021uiq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.458 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59423.290 r_PS1 NULL 540.152 53.947 20.669 0.108 0x00
OBS: 59424.270 r_PS1 NULL 670.713 83.135 20.434 0.135 0x00
OBS: 59424.270 i_PS1 NULL 584.409 77.831 20.583 0.145 0x00
OBS: 59426.280 i_PS1 NULL 897.981 81.693 20.117 0.099 0x00
OBS: 59426.280 g_PS1 NULL 1034.198 73.783 19.963 0.077 0x00
OBS: 59428.270 i_PS1 NULL 934.000 125.778 20.074 0.146 0x00
OBS: 59428.270 g_PS1 NULL 1269.226 104.886 19.741 0.090 0x00
OBS: 59437.270 i_PS1 NULL 1608.595 109.982 19.484 0.074 0x00
OBS: 59437.270 g_PS1 NULL 1830.385 147.400 19.344 0.087 0x00
OBS: 59444.280 z_PS1 NULL 1487.466 143.217 19.569 0.105 0x00
OBS: 59444.280 r_PS1 NULL 2137.577 115.362 19.175 0.059 0x00
OBS: 59446.270 i_PS1 NULL 2133.805 109.961 19.177 0.056 0x00
OBS: 59446.270 r_PS1 NULL 2293.652 88.786 19.099 0.042 0x00
OBS: 59448.280 z_PS1 NULL 1230.751 125.986 19.775 0.111 0x00
OBS: 59448.280 r_PS1 NULL 2109.682 121.674 19.189 0.063 0x00
OBS: 59451.250 i_PS1 NULL 1497.774 133.532 19.561 0.097 0x00
OBS: 59451.260 r_PS1 NULL 1977.049 85.847 19.260 0.047 0x00
OBS: 59452.250 r_PS1 NULL 1866.737 60.345 19.322 0.035 0x00
OBS: 59452.260 z_PS1 NULL 1195.521 98.875 19.806 0.090 0x00
OBS: 59453.260 r_PS1 NULL 2000.949 93.402 19.247 0.051 0x00
OBS: 59453.260 i_PS1 NULL 1716.928 115.901 19.413 0.073 0x00
OBS: 59454.250 r_PS1 NULL 1809.580 95.291 19.356 0.057 0x00
OBS: 59454.260 z_PS1 NULL 1244.537 104.064 19.762 0.091 0x00
OBS: 59457.250 g_PS1 NULL 1511.122 58.543 19.552 0.042 0x00
OBS: 59457.250 i_PS1 NULL 1772.320 60.051 19.379 0.037 0x00
OBS: 59462.250 i_PS1 NULL 1605.640 137.492 19.486 0.093 0x00
OBS: 59465.250 g_PS1 NULL 1268.309 90.514 19.742 0.077 0x00
OBS: 59465.250 r_PS1 NULL 1691.304 68.777 19.429 0.044 0x00
