SURVEY: YSE
SNID:  2021vtq
otherID: 
IAUC:    UNKNOWN
RA:        11.9122260  deg
DECL:       -20.5234330  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.020888
SIGMA_Z: 0.00015
REDSHIFT_CMB: 0.01987357865660333
REDSHIFT_FINAL: 0.020109245043115797
HOST_LOGMASS: 10.072535387927822
SEARCH_PEAKMJD: 59456.478
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021vtq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.603 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59438.620 g_PS1 NULL 3918.197 83.667 18.517 0.023 0x00
OBS: 59438.620 i_PS1 NULL 2501.864 74.283 19.004 0.032 0x00
OBS: 59440.550 r_PS1 NULL 8171.776 94.274 17.719 0.013 0x00
OBS: 59440.560 g_PS1 NULL 9555.483 121.947 17.549 0.014 0x00
OBS: 59442.550 z_PS1 NULL 12745.364 156.896 17.237 0.013 0x00
OBS: 59442.560 g_PS1 NULL 18710.702 161.639 16.820 0.009 0x00
OBS: 59445.560 r_PS1 NULL 33108.433 173.134 16.200 0.006 0x00
OBS: 59445.560 z_PS1 NULL 22227.826 187.311 16.633 0.009 0x00
OBS: 59447.560 i_PS1 NULL 31236.672 196.102 16.263 0.007 0x00
OBS: 59455.600 g_PS1 NULL 73156.326 292.078 15.339 0.004 0x00
OBS: 59455.610 i_PS1 NULL 35271.974 198.374 16.131 0.006 0x00
OBS: 59458.510 g_PS1 NULL 69168.990 546.910 15.400 0.009 0x00
OBS: 59458.520 z_PS1 NULL 33942.039 352.468 16.173 0.011 0x00
OBS: 59464.570 g_PS1 NULL 56162.048 288.269 15.626 0.006 0x00
OBS: 59464.570 r_PS1 NULL 53537.815 241.536 15.678 0.005 0x00
OBS: 59466.550 g_PS1 NULL 52007.305 281.766 15.710 0.006 0x00
OBS: 59466.550 i_PS1 NULL 22862.219 139.279 16.602 0.007 0x00
OBS: 59468.570 r_PS1 NULL 41350.937 188.151 15.959 0.005 0x00
OBS: 59468.570 g_PS1 NULL 45372.642 225.483 15.858 0.005 0x00
OBS: 59470.400 g_PS1 NULL 39338.582 187.983 16.013 0.005 0x00
OBS: 59470.400 z_PS1 NULL 22357.724 208.612 16.626 0.010 0x00
OBS: 59482.480 z_PS1 NULL 22717.238 205.675 16.609 0.010 0x00
OBS: 59482.480 r_PS1 NULL 30431.653 185.200 16.292 0.007 0x00
OBS: 59484.460 i_PS1 NULL 21526.630 185.360 16.668 0.009 0x00
OBS: 59484.470 r_PS1 NULL 29019.459 155.831 16.343 0.006 0x00
OBS: 59487.490 g_PS1 NULL 10980.282 124.376 17.398 0.012 0x00
OBS: 59487.490 i_PS1 NULL 20838.082 132.454 16.703 0.007 0x00
OBS: 59493.480 r_PS1 NULL 19314.469 186.690 16.785 0.010 0x00
OBS: 59493.480 g_PS1 NULL 8138.284 117.552 17.724 0.016 0x00
OBS: 59500.450 i_PS1 NULL 10845.258 147.959 17.412 0.015 0x00
OBS: 59500.450 g_PS1 NULL 6555.348 142.953 17.959 0.024 0x00
OBS: 59510.440 r_PS1 NULL 10079.243 213.524 17.491 0.023 0x00
OBS: 59510.450 i_PS1 NULL 7323.925 160.542 17.838 0.024 0x00
OBS: 59513.500 i_PS1 NULL 6676.985 126.763 17.939 0.021 0x00
OBS: 59513.500 r_PS1 NULL 8788.413 133.408 17.640 0.016 0x00
OBS: 59515.370 z_PS1 NULL 5325.311 139.774 18.184 0.028 0x00
OBS: 59515.370 g_PS1 NULL 5113.586 108.823 18.228 0.023 0x00
OBS: 59518.420 i_PS1 NULL 5514.304 114.086 18.146 0.022 0x00
OBS: 59518.420 g_PS1 NULL 4911.481 98.973 18.272 0.022 0x00
OBS: 59524.370 g_PS1 NULL 4557.193 93.865 18.353 0.022 0x00
OBS: 59524.380 r_PS1 NULL 6823.955 105.515 17.915 0.017 0x00
