SURVEY: YSE
SNID:  2021vwx
otherID: 
IAUC:    UNKNOWN
RA:        68.4050460  deg
DECL:       -22.0340110  deg
MWEBV:    0.045 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.06
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.059862966197678835
REDSHIFT_FINAL: 0.06002309104120292
HOST_LOGMASS: 9.745223289517694
SEARCH_PEAKMJD: 59476.63
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021vwx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.398 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59476.620 r_PS1 NULL 6554.059 123.598 17.959 0.020 0x01
OBS: 59476.630 i_PS1 NULL 6747.061 116.895 17.927 0.019 0x00
OBS: 59481.570 i_PS1 NULL 5779.900 149.627 18.095 0.028 0x00
OBS: 59481.570 r_PS1 NULL 5314.472 190.884 18.186 0.039 0x00
OBS: 59483.600 r_PS1 NULL 5379.156 123.823 18.173 0.025 0x00
OBS: 59483.600 z_PS1 NULL 6198.895 149.611 18.019 0.026 0x00
OBS: 59486.600 g_PS1 NULL 2188.810 105.810 19.149 0.052 0x00
OBS: 59486.600 i_PS1 NULL 5295.447 103.000 18.190 0.021 0x00
OBS: 59492.560 i_PS1 NULL 4428.478 126.132 18.384 0.031 0x00
OBS: 59492.560 g_PS1 NULL 1980.389 101.669 19.258 0.056 0x00
OBS: 59500.590 i_PS1 NULL 3186.252 97.953 18.742 0.033 0x00
OBS: 59500.590 g_PS1 NULL 1477.795 78.670 19.576 0.058 0x00
OBS: 59504.480 i_PS1 NULL 2667.432 253.326 18.935 0.103 0x00
OBS: 59504.490 r_PS1 NULL 3022.797 222.620 18.799 0.080 0x00
OBS: 59505.530 z_PS1 NULL 3617.623 198.677 18.604 0.060 0x00
OBS: 59505.530 r_PS1 NULL 2730.190 128.344 18.910 0.051 0x00
OBS: 59508.490 r_PS1 NULL 2522.127 179.650 18.996 0.077 0x00
OBS: 59508.490 i_PS1 NULL 2153.069 123.924 19.167 0.062 0x00
OBS: 59509.520 z_PS1 NULL 2499.030 224.250 19.006 0.097 0x00
OBS: 59509.530 r_PS1 NULL 2139.312 237.426 19.174 0.120 0x00
OBS: 59511.540 i_PS1 NULL 2144.785 349.229 19.172 0.177 0x00
OBS: 59518.510 r_PS1 NULL 1909.456 60.648 19.298 0.034 0x00
OBS: 59518.520 g_PS1 NULL 1108.195 78.476 19.888 0.077 0x00
OBS: 59524.490 r_PS1 NULL 1676.921 94.166 19.439 0.061 0x00
OBS: 59524.490 g_PS1 NULL 1047.769 87.737 19.949 0.091 0x00
OBS: 59527.500 g_PS1 NULL 710.302 56.103 20.371 0.086 0x00
OBS: 59527.500 i_PS1 NULL 1280.259 72.134 19.732 0.061 0x00
