SURVEY: YSE
SNID:  2021wfg
otherID: 
IAUC:    UNKNOWN
RA:        325.1052330  deg
DECL:       11.7489780  deg
MWEBV:    0.082 +- 0.004 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.079
REDSHIFT_CMB: 0.0777745400988592
REDSHIFT_FINAL: 0.0779740763191581
HOST_LOGMASS: 9.255076885223389
SEARCH_PEAKMJD: 59453.43
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021wfg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.055 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59032.515 r_PS1 NULL 45.328 79.305 22.375 -1.574 0x00
OBS: 59440.370 r_PS1 NULL 605.224 67.629 20.545 0.121 0x00
OBS: 59440.380 g_PS1 NULL 684.854 53.578 20.411 0.085 0x00
OBS: 59442.380 z_PS1 NULL 906.785 94.647 20.106 0.113 0x00
OBS: 59442.380 g_PS1 NULL 1437.957 71.746 19.606 0.054 0x00
OBS: 59445.390 i_PS1 NULL 2125.352 62.791 19.181 0.032 0x00
OBS: 59445.390 r_PS1 NULL 2339.137 80.182 19.077 0.037 0x00
OBS: 59451.320 r_PS1 NULL 3920.504 124.324 18.517 0.034 0x01
OBS: 59451.330 z_PS1 NULL 2154.791 147.905 19.166 0.075 0x01
OBS: 59453.430 r_PS1 NULL 4204.990 121.180 18.441 0.031 0x01
OBS: 59453.440 i_PS1 NULL 2670.050 81.975 18.934 0.033 0x01
OBS: 59456.470 g_PS1 NULL 4114.956 79.870 18.464 0.021 0x00
OBS: 59456.480 i_PS1 NULL 2594.363 98.351 18.965 0.041 0x00
OBS: 59466.420 i_PS1 NULL 1675.011 93.968 19.440 0.061 0x00
OBS: 59466.420 g_PS1 NULL 2704.762 86.255 18.920 0.035 0x00
OBS: 59470.290 g_PS1 NULL 2079.553 68.474 19.205 0.036 0x00
OBS: 59470.290 z_PS1 NULL 830.998 87.979 20.201 0.115 0x00
OBS: 59481.390 i_PS1 NULL 1147.453 132.703 19.851 0.126 0x00
OBS: 59481.400 r_PS1 NULL 1759.124 146.363 19.387 0.090 0x00
OBS: 59484.240 r_PS1 NULL 1468.246 86.254 19.583 0.064 0x00
OBS: 59484.240 z_PS1 NULL 766.898 123.632 20.288 0.175 0x00
OBS: 59491.230 g_PS1 NULL 417.556 60.002 20.948 0.156 0x00
OBS: 59493.220 i_PS1 NULL 1292.283 79.027 19.722 0.066 0x00
OBS: 59493.230 g_PS1 NULL 492.928 58.883 20.768 0.130 0x00
OBS: 59498.370 i_PS1 NULL 763.017 76.468 20.294 0.109 0x00
OBS: 59498.370 g_PS1 NULL 355.082 39.005 21.124 0.119 0x00
OBS: 59506.340 r_PS1 NULL 508.931 116.638 20.733 0.249 0x00
OBS: 59506.340 i_PS1 NULL 528.933 61.579 20.691 0.126 0x00
OBS: 59508.300 r_PS1 NULL 830.771 111.341 20.201 0.146 0x00
OBS: 59508.300 i_PS1 NULL 662.298 93.467 20.447 0.153 0x00
OBS: 59509.330 r_PS1 NULL 889.274 104.442 20.127 0.128 0x00
OBS: 59512.290 r_PS1 NULL 466.126 69.674 20.829 0.162 0x00
OBS: 59515.280 g_PS1 NULL 216.695 45.176 21.660 0.226 0x00
OBS: 59517.260 i_PS1 NULL 422.248 60.973 20.936 0.157 0x00
OBS: 59517.270 g_PS1 NULL 263.077 47.795 21.450 0.197 0x00
OBS: 59519.280 g_PS1 NULL 267.613 33.270 21.431 0.135 0x00
OBS: 59519.290 i_PS1 NULL 290.376 40.613 21.343 0.152 0x00
OBS: 59525.260 g_PS1 NULL 308.411 70.224 21.277 0.247 0x00
